Name (extracted)	Citing Article	Citied Article	Features
PlantVillage	https://doi.org/10.1109/IWCMC65282.2025.11059664 (2025), https://doi.org/10.46604/ijeti.2021.8244 (2021), https://doi.org/10.1109/RAEEUCCI63961.2025.11048289 (2025), https://doi.org/10.34133/plantphenomics.0054 (2023), https://doi.org/10.48129/kjs.v49i1.10586 (2021), https://doi.org/10.1109/AIC55036.2022.9848882 (2022), https://doi.org/10.18196/jrc.v4i6.20342 (2023), https://doi.org/10.3389/fpls.2022.983625 (2022), https://doi.org/10.3389/fpls.2016.01419 (2016), https://doi.org/10.1109/LA-CCI58595.2023.10409445 (2023), https://doi.org/10.1186/s12870-024-04825-y (2024), https://doi.org/10.1109/COMPAS60761.2024.10796774 (2024), https://doi.org/10.3389/fpls.2024.1443815 (2024), https://doi.org/10.34256/ijcci2115 (2021), https://doi.org/10.1109/ICICV64824.2025.11085739 (2025), https://doi.org/10.1109/ICEECT61758.2024.10739253 (2024), https://doi.org/10.3390/agronomy12102395 (2022), https://doi.org/10.1109/SSITCON62437.2024.10796375 (2024), https://doi.org/10.1109/ICAAIC60222.2024.10575163 (2024), https://www.semanticscholar.org/paper/17005a1bd4189707f17d8bef9a0909c9399f7171 (2020), https://doi.org/10.3389/fpls.2022.813050 (2022), https://doi.org/10.1109/ACCESS.2023.3284760 (2023), https://doi.org/10.48550/arXiv.2309.01903 (2023)	https://www.semanticscholar.org/paper/3e2da7c1c7dfc7960d1515b61f32fdc55359eea7 (2015)	The PlantVillage dataset is primarily used for training and evaluating machine learning models, particularly deep learning models, for plant disease diagnosis. It contains 54,306 images of 14 crop species with 26 diseases or healthy states, enabling researchers to develop and test models for mobile disease diagnostics. Studies focus on classification accuracy, model performance, and feature extraction, often using techniques like CNNs, AlexNet, GoogLeNet, and SVMs. The dataset supports research in image-based plant health assessment, highlighting both advancements and limitations in machine learning approaches.
IP102	https://doi.org/10.14569/ijacsa.2022.0130947 (2022), https://doi.org/10.48550/arXiv.2407.14911 (2024), https://doi.org/10.34133/plantphenomics.0054 (2023), https://doi.org/10.3390/insects14030278 (2023)	https://doi.org/10.1109/CVPR.2019.00899 (2019)	The IP102 dataset is primarily used for insect pest recognition and classification, featuring 164,700 images to train and evaluate models. It serves as a benchmark for large-scale insect pest recognition, supporting the development and evaluation of deep learning models, particularly in field crops. Researchers use it to enhance model performance, test real-time mobile device-based detection, and address limitations in smaller datasets, focusing on accuracy, efficiency, and the identification of 102 common crop pests.
ImageNet	https://doi.org/10.3389/fpls.2016.01419 (2016), https://doi.org/10.48550/arXiv.2410.00062 (2024), https://doi.org/10.3844/jcssp.2023.1438.1449 (2023), https://doi.org/10.3389/fpls.2022.813050 (2022)	https://doi.org/10.1109/CVPR.2009.5206848 (2009)	ImageNet is used for pre-training deep learning models, which are then fine-tuned for plant disease diagnosis, including pumpkin leaf disease classification. It provides a large-scale hierarchical image database, enhancing model performance through transfer learning. This approach improves accuracy and model performance on specific plant disease datasets like PlantVillage.
PlantVillage Dataset	https://doi.org/10.1109/CONECCT55679.2022.9865733 (2022), https://www.semanticscholar.org/paper/844ec19933556ffa84826fa262ab0070cb45c555 (2022), https://doi.org/10.3844/jcssp.2023.1438.1449 (2023)	https://www.semanticscholar.org/paper/3e2da7c1c7dfc7960d1515b61f32fdc55359eea7 (2015)	The PlantVillage Dataset is used to train and evaluate deep learning models for classifying healthy and diseased plants, particularly in cotton and other crops. It contains 220,592 labeled images across 271 disease categories, making it the largest available dataset for plant disease recognition. Researchers use it to assess model performance, robustness, and generalization capabilities, focusing on classification accuracy and the development of mobile disease diagnostics. The dataset's extensive size and variety of disease categories enable comprehensive testing and comparison of machine learning algorithms in agricultural image processing.
PlantDoc	https://doi.org/10.1109/ICSSIT53264.2022.9716233 (2022), https://doi.org/10.34133/plantphenomics.0054 (2023), https://doi.org/10.1109/CONECCT55679.2022.9865733 (2022)	https://doi.org/10.1145/3371158.3371196 (2019)	The PlantDoc dataset is used to train, test, and validate models for visual plant disease detection. It focuses on improving the accuracy, reliability, and robustness of disease recognition algorithms, particularly in identifying diseased leaves and classifying plant diseases in uncontrolled environments. The dataset covers 13 crops and 17 diseases, comprising 2,598 images, enabling researchers to develop and evaluate object detection models for plant health monitoring.
CCDDB	https://doi.org/10.1117/1.JEI.33.2.023030 (2024)	https://doi.org/10.1007/s11042-022-13925-6 (2022)	The CCDDB dataset is used for image augmentation in plant disease diagnosis, specifically by expanding the dataset through horizontal and vertical flipping. This enhances model training, improving the accuracy and robustness of machine learning models in diagnosing plant diseases. The dataset's ability to generate additional training images through augmentation is a key feature that enables more effective research in this area.
FieldPlant	https://doi.org/10.1109/ICCRTEE64519.2025.11053028 (2025)	https://doi.org/10.1109/ACCESS.2023.3263042 (2023)	The FieldPlant dataset is used to train and evaluate deep learning models for plant disease detection and classification, specifically focusing on field plant images. This enhances model robustness and accuracy by providing diverse and realistic data. The dataset's field-specific images are crucial for improving the performance of disease detection models in real-world conditions.
DS_corn	https://doi.org/10.34133/plantphenomics.0039 (2023)	https://www.semanticscholar.org/paper/cf20e34a1402a115523910d2a4243929f6704db1 (2005)	The DS_corn dataset is used to evaluate optimization algorithms for accuracy in corn disease diagnosis, focusing on feature selection and classification performance. It is employed to assess the effectiveness of various algorithms in selecting relevant features and improving classification accuracy, contributing to the development of more efficient and accurate disease diagnostic systems.
rice plant image dataset	https://doi.org/10.32604/iasc.2022.020679 (2022), https://doi.org/10.51239/jictra.v12i2.306 (2022)	https://doi.org/10.3233/IDT-170301 (2017)	The rice plant image dataset is used for validating the detection and classification of rice plant diseases through image-based diagnostics and machine learning approaches. Specifically, it supports the prediction of three rice diseases using a deep convolutional neural network, classifying healthy and diseased rice plant leaves. With over 4000 images, the dataset enables robust training and testing of models for disease classification.
PlantVillage collection	https://doi.org/10.1109/RAEEUCCI63961.2025.11048289 (2025)	https://doi.org/10.3390/info12110474 (2021)	The PlantVillage collection dataset is used to train and evaluate plant disease detection algorithms, specifically focusing on image-based classification. It includes over 3000 images of 14 plant species. Researchers employ this dataset to develop and test models like an improved YOLOv5 algorithm, aiming to enhance the accuracy of plant disease recognition.
