Analysis_Source	Name (extracted)	Citing Article	Citied Article	Features	Name_Variants	Homepage_URL
cited_context	1000 images of tomato leaves	https://doi.org/10.3390/plants9101302 (2020)	https://doi.org/10.1016/J.COMPAG.2019.104962 (2019)	The '1000 images of tomato leaves' dataset is used to develop and test image segmentation algorithms for identifying healthy and infected tomato leaves, particularly focusing on yellow leaf curl and mosaic virus. This dataset enables researchers to refine algorithms that accurately segment and classify leaf images, aiding in the precise detection of these specific plant diseases.		
citing_context	14,956 images with 38 distinct classes	https://doi.org/10.32996/jcsts.2023.5.3.6 (2023)	https://doi.org/10.1109/TENCON.2017.8228324 (2017)	The dataset of 14,956 images with 38 distinct classes is primarily used for training and evaluating models focused on plant disease diagnosis and leaf disease detection. Researchers employ various methodologies, including feature extraction and image processing techniques, deep learning architectures like VGGNet and AlexNet, and machine learning algorithms such as Random Forest and SVM. The dataset supports research on improving the accuracy and performance of classification models, particularly in the context of plant health monitoring and disease identification.		
cited_context	15,000 images of tomato leaf diseases	https://doi.org/10.1109/ACCESS.2020.2982443 (2020)	https://doi.org/10.1080/08839514.2017.1315516 (2017)	The dataset of 15,000 images of tomato leaf diseases is used to classify 9 specific tomato leaf diseases using the AlexNet deep learning model. This application demonstrates effective recognition performance, enabling researchers to advance deep learning-based plant disease diagnosis. The dataset's large size and diverse disease representation support robust model training and validation.		
cited_context	16,207 clean images	https://doi.org/10.1073/pnas.1716999115 (2018)		The dataset of 16,207 clean images is used to train and evaluate machine learning models for diagnosing plant diseases and conditions such as bacterial blight, brown spot, and potassium deficiency. This dataset enables researchers to develop and test algorithms that can accurately identify these specific plant health issues, enhancing the precision of disease diagnosis in agricultural settings.		
cited_context	16,652 images collected from Shandong Province, China	https://doi.org/10.3390/s21144749 (2021)	https://doi.org/10.1109/ACCESS.2019.2891739 (2019)	The dataset of 16,652 images from Shandong Province, China, is used for training and evaluating the M-bCNN model to achieve fine-grained image classification of wheat leaf diseases. This application focuses on enhancing the accuracy of disease diagnosis, with the model achieving 90% accuracy. The dataset's large size and specific focus on wheat leaf images enable robust model training and evaluation.		
cited_context	1796 images of maize leaves	https://doi.org/10.3390/s21144749 (2021)	https://doi.org/10.1094/PHYTO-11-16-0417-R (2017)	The dataset of 1796 images of maize leaves, sourced from the Musgrave Research Farm in Aurora, NY, is used to train Convolutional Neural Networks (CNNs) for identifying Northern Leaf Blight-infected maize plants. Research focuses on optimizing network architecture and hyperparameters to improve disease detection accuracy. This dataset enables the development and evaluation of machine learning models tailored for agricultural disease diagnosis.		
citing_context	18,161 plain as well as segmented tomato leaf images	https://doi.org/10.1109/ICSSIT53264.2022.9716233 (2022)	https://doi.org/10.3390/AGRIENGINEERING3020020 (2021)	The dataset of 18,161 plain and segmented tomato leaf images is used to train and evaluate a deep learning framework, specifically EfficientNet, for categorizing tomato diseases. Research focuses on enhancing the accuracy and reliability of disease detection by utilizing both plain and segmented images, thereby improving the robustness of disease classification models.		
cited_context	1969 RGB+NIR images	https://doi.org/10.3390/app12125919 (2022)	https://doi.org/10.5194/ISPRS-ANNALS-IV-2-W3-41-2017 (2017)	The 1969 RGB+NIR images dataset is used to detect sugar beet plants and weeds in agricultural fields. Employing CNNs with TensorFlow, the dataset, captured by a JAI camera on a UAV, is processed using NDVI for vegetation-background separation and blob segmentation. This methodology enables precise identification and differentiation of plants and weeds, enhancing precision agriculture practices.		
cited_context	2370 images	https://doi.org/10.3390/plants11172230 (2022)	https://www.semanticscholar.org/paper/4654aa505e5bcdb089d0df202cd7ceabc9d2d41f (2019)	The '2370 images' dataset is used to develop and evaluate plant disease diagnosis models, focusing on categorizing healthy leaves, leaf blasts, rice hispa damage, and brown spots. This dataset supports machine learning methodologies by providing labeled images for training and testing models, enabling accurate classification of plant health conditions.		
cited_context	2465 images of potato diseases	https://doi.org/10.1117/12.2680747 (2023)	https://doi.org/10.1094/PHYTO-08-18-0288-R (2019)	The dataset of 2465 images of potato diseases is used to train and evaluate a CNN-F algorithm for detecting potato diseases, specifically focusing on a limited number of disease categories. This approach enables researchers to improve the accuracy of disease detection in potatoes, contributing to more effective disease management strategies.		
citing_context	25,000 images of stressed and healthy leaves	https://doi.org/10.32604/iasc.2022.020679 (2022)	https://doi.org/10.1073/pnas.1716999115 (2018)	The dataset of 25,000 images of stressed and healthy leaves is used to train and evaluate deep machine vision models for detecting, classifying, and quantifying various soybean plant stresses. It focuses on image-based phenotyping, enabling researchers to analyze and understand the visual indicators of plant stress conditions. The dataset's large size and diverse range of stress types enhance the robustness and accuracy of the models.		
cited_context	3602 pictures of twelve common diseases	https://doi.org/10.1117/12.2680747 (2023)	https://doi.org/10.1109/ICCVW54120.2021.00312 (2021)	The dataset of 3602 pictures of twelve common diseases is used to train and evaluate the YOLOv5s network model for pest detection, specifically addressing the challenge of limited data in plant disease diagnosis. This dataset enables researchers to improve the accuracy and robustness of pest detection models, enhancing their applicability in real-world scenarios.		
