rank	corpus_id	title	confidence	is_relevant	reasoning
1	270393413	Emotion Recognition in Dance: A Novel Approach Using Laban Movement Analysis and Artificial Intelligence	1.000	True	{'Condition Object': 'Emotion Recognition in Dance', 'Required Elements': {'Laban Movement Analysis': 'A Novel Approach Using Laban Movement Analysis', 'Artificial Intelligence': 'and Artificial Intelligence'}}
2	278208154	Emotion Recognition in Contemporary Dance Performances Using Laban Movement Analysis	1.000	True	{'Condition Object': 'Laban Movement Analysis for dance emotion', 'Required Elements': {'Laban Movement Analysis': 'Laban Movement Analysis (LMA)', 'dance emotion': 'emotion recognition in contemporary dance'}}
3	279903886	An Analysis of the Theoretical Structure of Movement Signification in Dance Movement Therapy: A Semiotic Approach	0.000	False	The Condition Object 'Laban Movement Analysis for dance emotion' requires the presence of 'Laban Movement Analysis' and 'dance emotion'. While 'Laban Movement Analysis' is mentioned in the abstract, 'dance emotion' is not explicitly stated. The abstract discusses 'emotional and unconscious states' but does not specifically mention 'dance emotion'.
4	235676891	MoveFeel: Expressive Dance Movement Determination Through Video Analysis	1.000	True	{'Condition Object': 'Laban Movement Analysis', 'Required Elements': {'Laban Movement Analysis': 'movement methodologies based on "The Dynamics of Movement" by Rudolph Laban', 'dance emotion': 'distinguish dance phrases that are associated with positively or negatively expressed emotion'}}
5	22738406	Emotion control of unstructured dance movements	0.000	False	The title and abstract do not contain any explicit mention of 'Laban Movement Analysis' or 'dance emotion'. The provided evidence does not meet the strict matching protocol requirements.
6	268393447	Tutorial on Movement Notation: An Interdisciplinary Methodology for HRI to Reveal the Bodily Expression of Human Counterparts via Collecting Annotations from Dancers in a Shared Data Repository	1.000	True	{'Condition Object': 'Laban Movement Analysis', 'Required Elements': {'dance emotion': 'illuminate the principal components of Laban/Bartenieff Movement Studies -- a field comprised of Laban Movement Analysis and Bartenieff Fundamentals -- and the Body, Effort, Shape, Space, and Time (BESST) System of movement analysis.'}}
7	234856074	EmoDescriptor: A hybrid feature for emotional classification in dance movements	1.000	True	{'Condition Object': 'Laban Movement Analysis for dance emotion', 'Required Elements': {'Laban movement analysis': 'The explicit feature is calculated based on the Laban movement analysis, which considers the body, effort, shape, and space properties.', 'dance emotion': 'This article proposes a hybrid feature for emotional classification in dance performances.'}}
8	143545404	Children's understanding of emotion in dance	0.000	False	The title and abstract do not contain any explicit mention of 'Laban Movement Analysis' or 'dance emotion'. The paper focuses on children's understanding of emotion in dance, which does not strictly match the required elements.
9	56291905	Design for 'quality of use': emotion and physical interface design	1.000	True	{'Condition Object': 'Laban Movement Analysis', 'Required Elements': {'emotion': 'emotional reaction to gestural interface design', 'dance': 'Laban’s Movement Analysis from the field of dance and drama'}}
10	269629747	A Bibliometric Review of Research on Laban Movement Analysis and Computation	0.000	False	The title and abstract mention 'Laban Movement Analysis' but do not explicitly mention 'dance emotion'.
11	251142112	More Than One Story, More Than One Man: Laban Movement Analysis Re-examined	0.000	False	The title and abstract do not contain explicit mentions of 'Laban Movement Analysis' in conjunction with 'dance emotion'. The paper re-examines Laban Movement Analysis but does not specify its application to dance emotion.
12	237778983	Exploration of Utilization Methods Through Laban Movement Analysis (LMA) in Dance Movement Therapy	1.000	True	{'Condition Object': 'Laban Movement Analysis (LMA) in Dance', 'Required Elements': ['Laban Movement Analysis', 'Dance']}
13	226319654	A ball of energy: The use of Laban movement analysis and imagery to develop a performer holistically in dance	0.000	False	The title and abstract do not contain the exact term 'emotion' which is a required element for the topic 'Laban Movement Analysis for dance emotion'.
14	239110495	Troubling the Frame: Laban Movement Analysis as Critical Dialogue	0.000	False	The title and abstract mention 'Laban Movement Analysis' but do not explicitly discuss 'dance emotion'. The focus appears to be on the cultural context and application of Laban Movement Analysis in dance education.
15	55661221	Towards an interactive tool for music and dance: gestures, laban movement analysis and spectromorphology	1.000	True	{'Condition Object': 'Laban Movement Analysis for dance emotion', 'Required Elements': {'Laban Movement Analysis': 'Concepts from Laban Movement Analysis are used to qualify the extracted gestures.', 'dance emotion': 'Dance improvisations on Petrushka excerpts are the basis of a case study, where the relations between the music (tempo, pulses, instrumentation, character) and Laban Basic Actions are stressed.'}}
16	236677069	Motor Behaviour and Physical Capacities Analysis From the Laban Movement Analysis	0.000	False	The topic 'Laban Movement Analysis for dance emotion' requires the presence of 'Laban Movement Analysis' and 'dance emotion'. While 'Laban Movement Analysis' is mentioned in the abstract, 'dance emotion' is not explicitly present.
17	15102572	Folk Dance Evaluation Using Laban Movement Analysis	0.000	False	The title and abstract do not contain the required elements 'dance emotion'. The paper focuses on 'Folk Dance Evaluation' using 'Laban Movement Analysis', but does not explicitly mention 'dance emotion'.
18	149829218	A Study on the Development of K-pop Dance Emotion Model Using Laban's BESS Movement Theory	1.000	True	{'Condition Object': 'K-pop Dance Emotion', 'Required Elements': {"Laban's BESS Movement Theory": "A Study on the Development of K-pop Dance Emotion Model Using Laban's BESS Movement Theory"}}
19	260598852	Retracted: Comparative Analysis of Aesthetic Emotion of Dance Movement: A Deep Learning Based Approach	0.000	False	The title and abstract do not contain any of the required elements for the topic 'Laban Movement Analysis for dance emotion'. The paper is a retraction notice and does not provide details on the content of the original study.
20	148676633	Laban Movement Analysis and Dance Inequality	0.000	False	The required element 'emotion' is not explicitly present in the title or abstract.
21	232850632	A Study on the Development of K-pop Dance Emotion Model Using Laban's BESS Movement Theory	1.000	True	{'Condition Object': 'K-pop Dance Emotion', 'Required Elements': {"Laban's BESS Movement Theory": "A Study on the Development of K-pop Dance Emotion Model Using Laban's BESS Movement Theory"}}
