rank	corpus_id	title	confidence	is_relevant	reasoning
1	273200687	Identification and Verification of Key Genes in Colorectal Cancer Liver Metastases Through Analysis of Single-Cell Sequencing Data and TCGA Data	1.000	True	{'Condition Object': 'colorectal cancer liver metastases (CRLM)', 'Required Elements': {'disease + site': ['colorectal cancer liver metastases', 'CRLM'], 'methodology': ['single-cell sequencing', 'single-cell RNA-sequencing'], 'data modality': ['scRNA-seq data'], 'organism': ['not explicitly stated but implied by human context']}}
2	277988440	Abstract 5287: Decoding tumor-immune interactions in colorectal cancer liver metastases: Insights from single-cell analysis	1.000	True	{'Condition Object': 'colorectal cancer liver metastases', 'Required Elements': {'disease_site': ['colorectal cancer liver metastases', 'CRLM'], 'methodology': ['single-cell RNA sequencing']}}
3	249709857	Blockade of interleukin 10 potentiates antitumour immune function in human colorectal cancer liver metastases	1.000	True	{'Condition Object': 'colorectal cancer liver metastases (CRLM)', 'Required Elements': {'single-cell RNA sequencing': 'single-cell RNA sequencing', 'colorectal liver metastasis': 'colorectal cancer liver metastases (CRLM)'}}
4	279467851	Hyperglycemia induces an immunosuppressive microenvironment in colorectal cancer liver metastases by recruiting peripheral blood monocytes through the CCL3-CCR1 axis	1.000	True	{'Condition Object': 'colorectal cancer liver metastasis (CRLM)', 'Required Elements': {'single-cell RNA sequencing': 'seven single-cell RNA sequencing datasets', 'colorectal liver metastasis': 'colorectal cancer liver metastasis (CRLM)'}}
5	279721758	Personalized Neoantigen Vaccine plus Regorafenib Increases Rgs2⁺CD8⁺ T Cells Infiltration and Reprograms the Tumor Microenvironment in Microsatellite Stable Colorectal Cancer Liver Metastases.	1.000	True	{'Condition Object': 'Microsatellite stable colorectal cancer liver metastases (MSS-CRLM)', 'Required Elements': {'single-cell RNA sequencing': 'Single-cell RNA and TCR sequencing', 'colorectal liver metastasis': 'Microsatellite stable colorectal cancer liver metastases (MSS-CRLM)'}}
6	268663632	Abstract 5520: β2 adrenergic receptor signaling promotes colorectal cancer liver metastasis	1.000	True	{'Condition Object': 'colorectal cancer liver metastasis (CRLM)', 'Required Elements': {'single-cell RNA sequencing': 'Single-cell RNA sequencing', 'colorectal liver metastasis': 'CRC liver metastasis (CRLM)', 'site': 'liver'}}
7	277669062	FOS-driven inflammatory CAFs promote colorectal cancer liver metastasis via the SFRP1-FGFR2-HIF1 axis	1.000	True	{'Condition Object': 'colorectal cancer liver metastasis (CRLM)', 'Required Elements': {'single-cell RNA sequencing': 'single-cell RNA sequencing', 'colorectal liver metastasis': 'colorectal cancer liver metastasis (CRLM)'}}
8	274857932	myCAF-derived exosomal PWAR6 accelerates CRC liver metastasis via altering glutamine availability and NK cell function in the tumor microenvironment	1.000	True	{'Condition Object': 'colorectal liver metastasis (CRLM)', 'Required Elements': {'single-cell RNA sequencing': 'Single-cell analysis', 'colorectal liver metastasis': 'colorectal cancer liver metastases (CRLM)'}}
9	278993760	Radiotherapy followed by systemic therapy and tislelizumab in MSS rectal cancer with liver metastases: Using single-cell RNA sequencing to reveal cellular dynamics in primary rectal cancer and paired liver metastases of patients enrolled in the MIRACLE-1 and MIRACLE-2 studies.	1.000	True	{'Condition Object': 'colorectal liver metastasis', 'Required Elements': {'disease_site': ['rectal cancer', 'liver metastases'], 'methodology': ['single-cell RNA sequencing']}}
10	237387521	Intra- and intertumoral heterogeneity of liver metastases in a patient with uveal melanoma revealed by single-cell RNA sequencing	0.000	False	{'Condition Object': 'The paper discusses liver metastases, but it is specific to uveal melanoma, not colorectal liver metastases.', 'Required Elements': {'single-cell RNA sequencing': 'Present in the abstract.', 'colorectal liver metastasis': 'Not present. The paper focuses on uveal melanoma liver metastases.'}}
