Name (extracted)	Citing Article	Citied Article	Features
Urban100	https://doi.org/10.48550/arXiv.2410.15067 (2024), https://doi.org/10.1109/ICCVW54120.2021.00210 (2021), https://doi.org/10.1109/CVPR52688.2022.00564 (2021) (+36)	https://doi.org/10.1109/ICCV.2001.937655 (2001)	The Urban100 dataset is primarily used to evaluate image restoration methods, particularly in urban scenes. It focuses on assessing the performance of GAN-based super-resolution and denoising algorithms using metrics like PSNR and LPIPS. The dataset emphasizes architectural details, textures, and fine details, making it suitable for testing under various noise levels and conditions such as rain, blur, and low light.
GoPro	https://doi.org/10.48550/arXiv.2410.15067 (2024), https://doi.org/10.1007/978-3-031-20071-7_4 (2021), https://doi.org/10.1109/CVPRW53098.2021.00027 (2021) (+32)	https://doi.org/10.1109/CVPR.2017.35 (2016)	The GoPro dataset is primarily used for training and testing image deblurring models, particularly focusing on motion blur. It consists of paired blurred and sharp images, enabling researchers to develop and evaluate algorithms that restore image clarity. The dataset is widely used in the context of dynamic scene deblurring, providing a benchmark for assessing restoration quality under various motion blur conditions. It supports the development of deep learning models, such as multi-scale convolutional neural networks, and is crucial for improving image clarity in both static and video sequences.
Rain100L	https://doi.org/10.48550/arXiv.2410.15067 (2024), https://doi.org/10.48550/arXiv.2405.02843 (2024), https://doi.org/10.1109/CVPR52688.2022.01693 (2022) (+26)	https://doi.org/10.1109/CVPR.2017.183 (2016)	The Rain100L dataset is primarily used for testing and evaluating rain removal algorithms, with a focus on both light and heavy rain conditions. It is employed in training and assessing deraining techniques, particularly for low-resolution images with synthetic rain. The dataset includes 100 pairs of original and rainy images, enabling researchers to measure restoration quality using metrics like PSNR and SSIM. It serves as a benchmark for single-task deraining, evaluating the effectiveness and performance of various methods.
DIV2K	https://doi.org/10.48550/arXiv.2306.05390 (2023), https://doi.org/10.48550/arXiv.2210.01427 (2022), https://doi.org/10.48550/arXiv.2405.02843 (2024) (+28)	https://doi.org/10.1109/CVPRW.2017.150 (2017)	The DIV2K dataset is primarily used for training and evaluating models in single image super-resolution, image denoising, and compression artifact reduction. It provides high-quality images that enhance restoration performance, focusing on improving image resolution, quality, and reducing artifacts. Models like COLA-Net and SwinIR are trained using this dataset to achieve better results in these tasks, particularly at various scale factors.
BSD68	https://doi.org/10.1109/CVPR52688.2022.01693 (2022), https://doi.org/10.1007/s11263-023-01843-5 (2023), https://doi.org/10.1109/TPAMI.2021.3088914 (2020) (+26)	https://doi.org/10.1109/ICCV.2001.937655 (2001)	The BSD68 dataset is primarily used for evaluating image denoising and restoration algorithms. It focuses on performance metrics under controlled conditions, particularly at noise levels σ=15, σ=25, and σ=50. The dataset includes a diverse set of natural images, some with human-segmented annotations, which allows researchers to test the robustness and generalization capabilities of their methods. It is used to assess both grayscale and color image denoising, emphasizing the performance of algorithms across varying complexities and noise intensities.
WED	https://doi.org/10.48550/arXiv.2410.15067 (2024), https://doi.org/10.1109/CVPR52688.2022.01693 (2022), https://doi.org/10.48550/arXiv.2410.08688 (2024) (+24)	https://doi.org/10.1109/TIP.2016.2631888 (2017)	The WED dataset is primarily used for training and evaluating image restoration models, focusing on various degradations such as rain, noise, blur, and low-light conditions. It provides 4,744 high-quality images, enabling researchers to assess and enhance model performance in removing watermarks, denoising, and restoring images under multiple degradation scenarios. The dataset serves as a benchmark for testing the robustness and effectiveness of image restoration techniques, particularly in challenging conditions.
Set5	https://doi.org/10.1109/ICCVW54120.2021.00210 (2021), https://doi.org/10.1109/CVPRW.2018.00121 (2018), https://doi.org/10.48550/arXiv.2210.01427 (2022) (+15)	https://doi.org/10.1007/978-3-642-27413-8_47 (2010)	The Set5 dataset is primarily used to evaluate super-resolution methods, focusing on performance metrics such as PSNR, SSIM, and LPIPS. It is employed to assess the quality and effectiveness of GAN-based and low-complexity single-image super-resolution techniques, particularly in enhancing image resolution at various scaling factors. The dataset also tests the generalization ability of networks on images with blended distortions and different resolutions, contributing to the broader field of image restoration.
Set14	https://doi.org/10.1109/CVPRW.2018.00121 (2018), https://doi.org/10.1109/ICCVW54120.2021.00210 (2021), https://www.semanticscholar.org/paper/cbd65255f6266f798326acc8e0654e40ea0918cf (2018) (+15)	https://doi.org/10.1007/978-3-642-27413-8_47 (2010)	Set14 is primarily used to evaluate image super-resolution and restoration methods, focusing on performance metrics such as PSNR, SSIM, and LPIPS. It is employed to assess the quality and perceptual similarity of restored images, particularly in GAN-based and sparse-representation techniques. The dataset enables researchers to compare and validate the effectiveness of different super-resolution approaches, emphasizing high-quality image restoration and low-complexity methods.
BSD400	https://doi.org/10.48550/arXiv.2410.15067 (2024), https://doi.org/10.1109/CVPR52688.2022.01693 (2022), https://doi.org/10.48550/arXiv.2312.05038 (2023) (+19)	https://doi.org/10.1109/TIP.2016.2631888 (2017)	The BSD400 dataset is primarily used for training and evaluating image restoration models, with a focus on denoising, deblurring, and addressing various degradations such as rain, haze, noise, blur, and low-light conditions. It provides 400 high-quality, diverse images that enhance model performance and robustness, serving as a benchmark for assessing restoration quality.
HIDE	https://www.semanticscholar.org/paper/6af728164e4424218967fd356b3448f5037acd88 (2023), https://doi.org/10.1007/978-3-031-20071-7_4 (2021), https://doi.org/10.1109/TPAMI.2023.3330416 (2023) (+14)	https://doi.org/10.1109/ICCV.2019.00567 (2019)	The HIDE dataset is primarily used for evaluating and comparing image restoration models, particularly in the areas of deblurring and denoising. It features a large collection of high-resolution images with varying degrees of blur and noise, enabling researchers to assess model performance on diverse and challenging real-world scenarios. The dataset supports the evaluation of techniques such as DiffIR, human-aware motion deblurring, and the Test-time Local Converter, focusing on robustness, generalization, and reducing train-test inconsistencies. It also facilitates numerical comparisons and performance metrics in dynamic scene deblurring and synthetic image deblurring, providing realistic blur synthesis for both training and testing.
