Name (extracted)	Citing Article	Citied Article	Features
GoPro	https://doi.org/10.48550/arXiv.2410.15067 (2024), https://doi.org/10.48550/arXiv.2411.18412 (2024), https://doi.org/10.48550/arXiv.2506.16960 (2025) (+25)	https://doi.org/10.1109/CVPR.2017.35 (2016)	The GoPro dataset is primarily used for motion deblurring research, focusing on both synthetic and real-world motion blur in images and video sequences. It is employed to train and evaluate deep learning models, particularly multi-scale convolutional neural networks, to improve image clarity and high-resolution quality in dynamic scenes. The dataset includes motion-blurred images and their corresponding sharp versions, enabling researchers to address camera and object motion blur effectively.
Rain100L	https://doi.org/10.48550/arXiv.2410.15067 (2024), https://doi.org/10.1109/TPAMI.2025.3562211 (2024), https://doi.org/10.1109/CVPR52688.2022.01693 (2022) (+28)	https://doi.org/10.1109/TIP.2018.2867951 (2017)	The Rain100L dataset is primarily used for image deraining, focusing on the removal of rain streaks to enhance image clarity. It consists of 200 clean-rainy image pairs for training and 100 pairs for testing. Researchers employ deep multi-scale convolutional neural networks and other models to train, test, and evaluate deraining performance, often in single-task settings. The dataset is used for ablation experiments, visual comparisons with state-of-the-art methods, and assessing PSNR gains, specifically in the context of synthetic rainy images.
WED	https://doi.org/10.48550/arXiv.2410.15067 (2024), https://doi.org/10.1109/CVPR52733.2024.00277 (2023), https://doi.org/10.48550/arXiv.2411.18466 (2024) (+25)	https://doi.org/10.1109/TIP.2016.2631888 (2017)	The WED dataset is primarily used for image denoising research, providing a diverse set of images to train and evaluate denoising algorithms. It is employed in both training and testing phases, often with synthetic Gaussian noise, to enhance and assess the performance of image restoration models. The dataset complements other benchmarks like BSD400, offering additional challenges and variations in image quality, which helps in evaluating the robustness and effectiveness of denoising techniques under various degradations.
Urban100	https://doi.org/10.48550/arXiv.2410.15067 (2024), https://doi.org/10.48550/arXiv.2406.18242 (2024), https://doi.org/10.1109/CVPR52688.2022.01693 (2022) (+18)	https://doi.org/10.1109/ICCV.2001.937655 (2001)	The Urban100 dataset is primarily used to evaluate image restoration techniques, particularly in urban scenes with complex structures and high-resolution details. It is employed to assess the performance of various restoration methods, including denoising, deblurring, and handling issues like rain, haze, and low-light conditions. The dataset's 100 diverse urban images enable researchers to measure PSNR improvements and the effectiveness of algorithms in preserving architectural details and textures.
BSD400	https://doi.org/10.48550/arXiv.2410.15067 (2024), https://doi.org/10.1109/CVPR52688.2022.01693 (2022), https://doi.org/10.48550/arXiv.2411.18466 (2024) (+21)	https://doi.org/10.1109/TIP.2016.2631888 (2017)	The BSD400 dataset is primarily used for image denoising research, focusing on improving image quality by reducing noise while preserving important features. It is employed to train and evaluate denoising models using synthetic Gaussian noise at various levels (σ = 15, 25, 50). The dataset provides a diverse set of natural images, enhancing model robustness and serving as a benchmark for comparing denoising algorithms. Additionally, it is used to evaluate image restoration models under various degradations, including rain, haze, blur, and low-light conditions, making it a valuable resource for assessing performance across diverse image content.
BSD68	https://doi.org/10.1109/CVPR52688.2022.01693 (2022), https://doi.org/10.48550/arXiv.2404.02154 (2024), https://doi.org/10.48550/arXiv.2403.14614 (2024) (+20)	https://doi.org/10.1109/ICCV.2001.937655 (2001)	The BSD68 dataset is primarily used for evaluating image denoising and restoration algorithms. It serves as a testing set containing 68 ground truth images, often used after training on larger datasets like BSD400 and WED. Researchers employ it to assess performance at various noise levels, focusing on natural images with human-segmented annotations. The dataset is crucial for benchmarking denoising models, evaluating restoration quality, and enhancing visual performance metrics.
LOL	https://doi.org/10.48550/arXiv.2410.15067 (2024), https://doi.org/10.48550/arXiv.2411.18412 (2024), https://doi.org/10.48550/arXiv.2310.10123 (2023) (+12)	https://www.semanticscholar.org/paper/c7798bbbcd2e85593a2b2d37b92dabac63420cd8 (2018)	The LOL dataset is primarily used for low-light image enhancement research, focusing on improving image quality, visibility, and color fidelity in low-light conditions. It is employed to train and evaluate deep learning models, including those using deep retinex decomposition and ERFM techniques. The dataset enables researchers to assess and compare the performance of various image restoration algorithms, often demonstrating significant improvements in metrics like PSNR.
RESIDE	https://doi.org/10.48550/arXiv.2410.15385 (2024), https://doi.org/10.1109/WACV61041.2025.00069 (2025), https://doi.org/10.48550/arXiv.2506.16960 (2025) (+18)	https://doi.org/10.1109/TIP.2018.2867951 (2017)	The RESIDE dataset is primarily used for training and evaluating models focused on image dehazing. It provides a comprehensive benchmark for assessing dehazing techniques, including single-degradation scenarios, using metrics like PSNR, MS-SSIM, and BD-PSNR. The dataset contains hazy images that help optimize models such as TANet and Restormer+EVC to improve visibility and clarity in both synthetic and real-world hazy conditions.
Snow100K	https://doi.org/10.48550/arXiv.2506.16960 (2025), https://doi.org/10.3390/electronics13142817 (2024), https://doi.org/10.1109/TCSVT.2024.3429557 (2024) (+11)	https://doi.org/10.1109/ICCV48922.2021.00416 (2021)	The Snow100K dataset is primarily used for desnowing, which involves removing snowflakes and enhancing visual clarity in images. It is utilized for training and evaluating snow removal algorithms, particularly focusing on diverse snow patterns and intensities. The dataset supports qualitative comparisons and performance assessments of various desnowing methods, including the use of hierarchical dual-tree complex wavelet representation and contradict channel loss. Its large-scale synthetic nature makes it suitable for optimizing and testing image desnowing models.
CSD	https://doi.org/10.3390/electronics13142817 (2024), https://doi.org/10.1109/TIP.2025.3572788 (2025), https://doi.org/10.1109/TCSVT.2024.3429557 (2024) (+3)	https://doi.org/10.1109/ICCV48922.2021.00416 (2021)	The CSD dataset is primarily used for training and evaluating image restoration algorithms, particularly for haze and snow removal. It serves as a benchmark for assessing the performance of dehazing and desnowing models using metrics like PSNR, MS-SSIM, and BD-PSNR. The dataset includes synthetic hazy and snowy images, enabling researchers to focus on visual fidelity and artifact reduction in image restoration.
