Analysis_Source	Name (extracted)	Citing Article	Citied Article	Features	Name_Variants	Homepage_URL
cited_context	91 images	https://www.semanticscholar.org/paper/cbd65255f6266f798326acc8e0654e40ea0918cf (2018), https://doi.org/10.1109/CVPRW59228.2023.00178 (2023)	https://doi.org/10.1109/ICCV.2001.937655 (2001)	The '91 images' dataset is used primarily for training and evaluating image restoration methods, particularly in the domain of image super-resolution. It provides a small, manageable set of 91 high-quality images, enabling researchers to assess the performance of their models efficiently. This dataset facilitates the development and benchmarking of early image restoration techniques by offering a consistent and well-defined subset for both training and evaluation.		
cited_context	91 images from Yang et al.	https://doi.org/10.1109/ICCV.2017.486 (2017)	https://doi.org/10.1109/CVPR.2015.7299156 (2015)	The '91 images from Yang et al.' dataset is used for training in single image super-resolution, providing a subset of high-resolution images to enhance model performance. This dataset enables researchers to develop and refine algorithms that improve image resolution, focusing on the quality and detail of restored images.		
cited_context	AAHCS	https://doi.org/10.1109/TGRS.2024.3378828 (2024)	https://doi.org/10.1109/LGRS.2017.2771212 (2017)	The AAHCS dataset is used for hyperspectral image reconstruction, employing compressive sensing and tensor decomposition techniques. It enables researchers to address challenges in efficiently reconstructing high-dimensional hyperspectral images from compressed measurements, facilitating advancements in hyperspectral imaging technology.		
cited_context | citing_context	Adair	https://doi.org/10.48550/arXiv.2410.15067 (2024)	https://doi.org/10.48550/arXiv.2401.13221 (2024)	The AdaIR dataset is used to evaluate and test adaptive image restoration methods, specifically focusing on dynamic adjustment to image degradations and frequency mining and modulation. It enables researchers to assess the effectiveness of these techniques in handling various image degradations, thereby advancing the field of adaptive image restoration.; The AdaIR dataset is used for adaptive image restoration, specifically to test and develop techniques that dynamically adjust restoration parameters. Research focuses on methods like frequency mining and modulation to enhance image restoration adaptively. This dataset enables researchers to evaluate and refine algorithms that can dynamically respond to varying image conditions, improving restoration outcomes.	AdaIR	
cited_context	Adobe-MIT Fivek	https://doi.org/10.1145/3664647.3681621 (2024)	https://www.semanticscholar.org/paper/0250f9026b540ae05e2b6528b3c9064e6db637dd (2011)	The Adobe-MIT Fivek dataset is used to generate image pairs for training and evaluating image restoration models, specifically focusing on global tonal adjustments and retouching techniques. This dataset enables researchers to assess the effectiveness of various retouching methods by providing a diverse set of before-and-after image pairs, facilitating the development and refinement of image processing algorithms.		
cited_context	Adobe-MIT Fivek dataset	https://doi.org/10.1145/3664647.3681621 (2024), https://doi.org/10.48550/arXiv.2310.10513 (2023)	https://www.semanticscholar.org/paper/5ee57b18a7be2b671ffc6f5ce5dbbe92112ee0fb (2007)	The Adobe-MIT Fivek dataset is used for training and evaluating image restoration models, particularly focusing on expert-retouched images. It supports research in retouching, Low-Light Filtering (LLF), and Multi-Task Modeling (MTM), enabling the development of algorithms that perform expert-level image adjustments and multi-task learning. The dataset's emphasis on high-quality, professionally adjusted images facilitates the creation of more sophisticated and realistic image processing techniques.		
cited_context	AGAN	https://doi.org/10.1109/ICCV48922.2021.00231 (2021)	https://doi.org/10.1109/CVPR.2017.186 (2017)	The AGAN dataset is used to evaluate the performance of the SPAIR model for image restoration, specifically focusing on adversarial generation and enhancing image quality. It employs a dataset generated by an adversarial network to assess the effectiveness of the SPAIR model in improving image restoration outcomes.		
cited_context | citing_context	Airnet	https://doi.org/10.48550/arXiv.2410.15067 (2024)	https://doi.org/10.48550/arXiv.2401.13221 (2024), https://doi.org/10.1007/978-3-031-72764-1_1 (2024)	The AirNet dataset is used to evaluate and assess image restoration techniques, particularly focusing on aerial images under various atmospheric conditions such as haze and rain. Researchers employ this dataset to test and compare the quality of image restoration methods, ensuring they effectively handle the unique challenges posed by aerial imagery. This enables the development and refinement of robust image restoration algorithms.; The AirNet dataset is primarily used for testing and assessing air-light estimation in hazy images, enhancing visibility in outdoor and aerial scenes. It serves as a benchmark for evaluating image restoration techniques, particularly in handling various degradations. The dataset's focus on atmospheric light recovery makes it valuable for dehazing research, enabling researchers to improve the clarity and quality of images affected by haze.	AirNet	
cited_context | citing_context	All-Weather	https://doi.org/10.48550/arXiv.2410.15385 (2024), https://doi.org/10.48550/arXiv.2504.05135 (2025), https://doi.org/10.1109/CVPR52688.2022.00239 (2021) (+1), https://doi.org/10.48550/arXiv.2312.16610 (2023), https://doi.org/10.1109/CVPR52688.2022.00239 (2021), https://doi.org/10.48550/arXiv.2410.15067 (2024)	https://doi.org/10.1109/CVPR52688.2022.00239 (2021), https://doi.org/10.1109/CVPR.2019.00821 (2019)	The All-Weather dataset is used for training and evaluating models designed to restore images degraded by various adverse weather conditions, such as rain, haze, and snow. It employs methodologies like generative adversarial networks and benchmarks like DA 2 Diff to assess the effectiveness of restoration algorithms under different weather scenarios, ensuring robust performance and fair comparisons with previous methods.; The All-weather dataset is primarily used for training and evaluating image restoration models across various weather conditions, such as raindrop removal and deweathering. It employs generative adversarial networks and assesses model performance using metrics like PSNR and SSIM. The dataset supports research on improving image clarity in degraded scenes and enhancing downstream tasks like segmentation. It also facilitates the comparison of different models, including MoFME, highlighting efficiency and effectiveness in image restoration.	All-Weather, All-weather	
cited_context | citing_context	All-Weather Dataset	https://doi.org/10.1109/ACCESS.2025.3526168 (2023), https://doi.org/10.1109/ACCESS.2025.3526168 (2023), https://doi.org/10.1109/CVPR52733.2024.02352 (2023)	https://doi.org/10.1109/cvpr42600.2020.00324 (2020)	The All-Weather dataset is used to evaluate the performance of image restoration methods under various weather conditions. Researchers employ this dataset to demonstrate both subjective and objective improvements of their proposed methods over existing state-of-the-art techniques. The dataset's diverse weather conditions enable comprehensive testing and validation of image restoration algorithms.; The All-Weather dataset is used to train and evaluate image restoration techniques under various weather conditions, such as rain, fog, and snow. It supports the analysis of L2 norm distribution across image channels and partitions images into subsets based on degradation severity (slight, moderate, heavy). This enables researchers to assess and compare the performance of their methods against state-of-the-art techniques in restoring weather-degraded images.	All-Weather dataset	
