Name (extracted)	Citing Article	Citied Article	Features
RAMS	https://doi.org/10.18653/v1/2020.acl-main.718, https://doi.org/10.18653/v1/2022.acl-long.466, https://doi.org/10.48550/arXiv.2404.12242 (+3)	https://doi.org/10.18653/v1/2020.acl-main.718	The RAMS dataset is used for evaluating and improving event argument extraction, particularly in the context of multi-sentence argument linking and role-specific annotations. It is employed to compare the scale and coverage of event argument datasets, adapt span-based models, and enhance semantic role labeling. The dataset's large size and broad coverage make it suitable for comprehensive training and evaluation, especially for identifying and linking arguments across sentences and handling complex events with multiple roles.
MAVEN	https://doi.org/10.48550/arXiv.2309.14258, https://doi.org/10.48550/arXiv.2404.12242	https://doi.org/10.18653/v1/2020.emnlp-main.129	The MAVEN dataset is primarily used for large-scale event detection in general domain texts, covering a wide range of event types. It is employed to train and evaluate event detection models, particularly focusing on categories such as 'Attack' and 'Defending.' The dataset supports multi-aspect, multi-grained event extraction, enabling researchers to address various levels of event granularity and complexity. Its large scale and diverse event types make it suitable for evaluating the performance of event detection systems across different contexts.
DuEE	https://doi.org/10.48550/arXiv.2309.14258, https://doi.org/10.48550/arXiv.2404.12242	https://doi.org/10.18653/v1/D19-1585	The DuEE dataset is primarily used for Chinese event extraction, covering a wide range of domains such as finance and legal. It is employed to train and evaluate models on fine-grained event types, addressing the linguistic and cultural nuances of the Chinese language. The dataset enables researchers to assess event extraction performance in diverse contexts, enhancing model accuracy and robustness.
ACE 2005	https://doi.org/10.48550/arXiv.2309.14258, https://doi.org/10.1609/aaai.v35i14.17478, https://doi.org/10.18653/v1/D19-1032	https://www.semanticscholar.org/paper/50d06ea19d514e9d60347b3399214fe54949e64e	The ACE 2005 dataset is primarily used for event extraction and relation tasks, focusing on annotated news articles and broadcast transcripts. It serves as a benchmark for training and evaluating event extraction systems, particularly in identifying, classifying, and predicting event triggers and their arguments. The dataset supports cross-lingual transfer experiments among English, Chinese, and Arabic, ensuring annotation consistency. Its expert-annotated nature makes it a reliable resource for document-level event extraction, enabling researchers to address specific event types and their contextual nuances.
WIKIEVENTS	https://doi.org/10.18653/v1/2022.acl-long.466, https://doi.org/10.48550/arXiv.2404.12242, https://doi.org/10.48550/arXiv.2205.00241	https://doi.org/10.18653/V1/2021.NAACL-MAIN.69	The WIKIEVENTS dataset is primarily used for evaluating and training document-level event argument extraction models, particularly focusing on conditional generation techniques. It provides a large-scale resource derived from Wikipedia articles, enabling researchers to assess the effectiveness of role-specific selectors in improving argument classification and linking arguments to events. The dataset includes 59 role types, which are crucial for identifying and disambiguating event arguments, and is often used to measure Argument Head F1 scores, emphasizing the importance of headword matching in argument identification.
MAVEN-ERE	https://doi.org/10.48550/arXiv.2309.14258	https://doi.org/10.18653/v1/2021.findings-emnlp.416	The MAVEN-ERE dataset is used for event relation extraction and entity recognition, with a focus on cross-document coreference resolution and consistency. It extends MAVEN by adding event relation annotations and new event and relation types. Researchers use it to train and evaluate models like RoBERTa for event detection, relation extraction, and cross-document coherence in a general domain. The dataset supports both academic research and practical applications in online systems, enhancing the accuracy and robustness of event and relation extraction tasks.
MUC-4	https://doi.org/10.18653/v1/2022.acl-long.274, https://doi.org/10.18653/v1/2021.acl-long.274	https://doi.org/10.3115/1072064.1072066	The MUC-4 dataset is primarily used to evaluate and train neural and traditional information extraction (IE) systems, focusing on document-level event extraction from news articles, particularly those concerning terrorist incidents in Latin America. It serves as a benchmark for comparing model performance, assessing event identification, linking, and template filling tasks. The dataset enables researchers to test and improve the accuracy and completeness of event extraction methodologies.
FewFC	https://doi.org/10.48550/arXiv.2309.14258, https://doi.org/10.48550/arXiv.2404.12242	https://doi.org/10.18653/v1/D19-1585	The FewFC dataset is primarily used for few-shot event extraction, particularly in scenarios with limited labeled data. It is applied across various domains, including finance, to enhance model generalization and address rare events. Despite its small size and limited instances of overlapping events, the dataset facilitates research by enabling the study of event extraction from minimal annotated sentences.
DuEE-fin	https://doi.org/10.48550/arXiv.2206.03377, https://doi.org/10.48550/arXiv.2404.12242	https://doi.org/10.18653/v1/D19-1032	The DuEE-fin dataset is primarily used for financial event extraction, focusing on document-level annotations and evaluation. It is employed to assess event detection models, analyze the distribution of event types and records, and enhance the understanding of complex financial events. The dataset supports research by providing a diverse set of event types and a challenging test set, enabling comparisons with baseline models and real-time performance evaluations. It includes fine-grained event types and arguments, facilitating detailed analysis of event occurrences and contexts in financial documents.
LEVEN	https://doi.org/10.48550/arXiv.2309.14258	https://doi.org/10.18653/v1/D19-1585	The LEVEN dataset is primarily used for document-level event extraction, focusing on legal event detection and event prediction in narratives. It supports the evaluation of event extraction models, particularly in handling document-level event coreference resolution and identifying event relationships. The dataset is also applied to event extraction in low-resource languages, aiding in scenarios with limited training data. Its annotated legal documents and narrative contexts enable robust training and evaluation of event extraction systems.
RichERE	https://doi.org/10.48550/arXiv.2309.14258	https://www.semanticscholar.org/paper/50d06ea19d514e9d60347b3399214fe54949e64e	The RichERE dataset is primarily used for enhancing event and entity extraction in text, focusing on identifying event types, argument roles, and event triggers. It supports rich event role extraction and detailed semantic analysis, enabling researchers to improve the depth and breadth of information extracted from documents. This dataset facilitates the prediction of event triggers and the extraction of complex relationships, making it valuable for detailed document-level event extraction tasks.
TAC KBP	https://doi.org/10.48550/arXiv.2309.14258	https://www.semanticscholar.org/paper/50d06ea19d514e9d60347b3399214fe54949e64e	The TAC KBP dataset is utilized for knowledge base population, specifically for extracting entities, relations, and events from diverse text sources. It is employed to evaluate entity, relation, and event extraction systems, with a focus on handling complex event structures and cross-document coreference. This dataset enables researchers to assess and improve the accuracy and robustness of natural language processing systems in populating structured knowledge bases.
TB-Dense	https://doi.org/10.48550/arXiv.2309.14258	https://doi.org/10.18653/v1/2021.findings-emnlp.416	The TB-Dense dataset is used for dense event annotation in narrative texts, particularly in news articles. It enhances the granularity of event extraction by providing detailed event structures and focusing on temporal relations. Researchers employ this dataset to study fine-grained event ordering, which aids in understanding complex narrative sequences and their temporal dynamics.
TCR	https://doi.org/10.48550/arXiv.2309.14258	https://doi.org/10.18653/v1/2021.findings-emnlp.416	The TCR dataset is primarily used for causal relation extraction, focusing on identifying cause-effect relationships in text and between events. It is also applied for temporal relation extraction, specifically to analyze event ordering and duration. This dataset enables researchers to assess and improve algorithms for extracting these relational structures, enhancing the understanding of complex textual data.
MATRES	https://doi.org/10.48550/arXiv.2309.14258	https://doi.org/10.18653/v1/2021.findings-emnlp.416	The MATRES dataset is primarily used for temporal relation extraction and classification, focusing on identifying and evaluating the temporal relationships between events in text, such as before, after, and simultaneous events. It enables researchers to address the challenge of determining the temporal ordering of events, enhancing the accuracy of temporal relation extraction methodologies.
SciREX	https://doi.org/10.18653/v1/2022.acl-long.274, https://doi.org/10.18653/v1/2020.acl-main.670	https://doi.org/10.18653/v1/P19-1513	The SciREX dataset is primarily used for evaluating and comparing neural models in scientific document information extraction, focusing on tasks such as event extraction, entity recognition, and relation identification. It is employed to train and test models like DyGIE++ and GTT, assessing their performance in handling technical content and document-level tasks. The dataset facilitates research by providing a benchmark for model effectiveness in scientific document processing, highlighting challenges and enabling comparisons across different subtasks.
CausalTB	https://doi.org/10.48550/arXiv.2309.14258	https://doi.org/10.18653/v1/2022.acl-long.466	The CausalTB dataset is used for causal event extraction, specifically to identify causal relationships and chains in narrative texts. It provides annotated texts that enable researchers to evaluate and develop methods for recognizing these causal structures, enhancing the understanding of cause-and-effect dynamics in textual data.
EventStoryLine	https://doi.org/10.48550/arXiv.2309.14258	https://doi.org/10.18653/v1/2022.acl-long.466	The EventStoryLine dataset is used for event storyline extraction, focusing on identifying sequences of events within narratives. It evaluates the performance of event extraction models by analyzing narrative structures in text. This dataset enables researchers to assess how well models can capture and sequence events, enhancing the understanding of narrative dynamics in documents.
HiEve	https://doi.org/10.48550/arXiv.2309.14258	https://doi.org/10.18653/v1/2022.acl-long.466	The HiEve dataset is used for hierarchical event extraction, providing annotated texts to extract event hierarchies and analyze their structural relationships. It focuses on understanding the organization and connections between events at various levels, enabling researchers to delve into complex event dynamics and relationships within documents.
ProMED	https://doi.org/10.18653/v1/2022.acl-long.274	https://doi.org/10.18653/V1/2021.NAACL-MAIN.70	The ProMED dataset is used to train and evaluate neural-based information extraction models, particularly focusing on disease outbreak reports. It is employed to compare and assess the performance of models like DyGIE++, GTT, and DyGIE in extracting disease-related events from specialized documents, including news articles and scientific texts. The dataset's smaller size allows for extensive training, such as 36 epochs for the GTT model, enabling researchers to highlight the models' capabilities in handling specialized language and document-level event extraction.
ChfinAnn	https://doi.org/10.48550/arXiv.2404.12242, https://doi.org/10.48550/arXiv.2305.18926, https://doi.org/10.18653/v1/D19-1032	https://doi.org/10.24963/ijcai.2022/632	The ChfinAnn dataset is primarily used for document-level event extraction in the Chinese financial domain, serving as a benchmark for evaluating baseline models. It supports research through distant supervision and a two-stage extraction process involving sequence tagging and key-event-sentence detection, facilitating the development and assessment of event extraction models.
Beyond NomBank	https://doi.org/10.18653/v1/2020.acl-main.718, https://doi.org/10.18653/V1/2021.NAACL-MAIN.69	https://doi.org/10.1162/COLI_a_00110	The 'Beyond NomBank' dataset is used for semantic role labeling of implicit arguments for nominal predicates, particularly focusing on multi-sentence arguments and nominal event triggers. It extends NomBank by studying implicit arguments beyond existing resources, enhancing document-level event extraction for both verb and nominal predicates. This dataset supports research in improving the accuracy and scope of event extraction methodologies.
SCIERC	https://doi.org/10.18653/v1/2020.acl-main.670	https://doi.org/10.18653/v1/D18-1360	The SCIERC dataset is used for information extraction from scientific article abstracts, focusing on identifying entities, relations, and coreferences to construct scientific knowledge graphs. It supports the annotation of entity mentions, coreference information, and binary relations. The dataset is also used to evaluate and compare model performance on document-level event extraction tasks, particularly in scientific documents.
ACE05	https://doi.org/10.18653/v1/2022.acl-long.466	https://doi.org/10.18653/v1/2020.acl-main.718	The ACE05 dataset is primarily used for evaluating and benchmarking event argument extraction systems in document-level event extraction tasks. It features 36 role types and is employed to identify, classify, and link arguments to events in text. Researchers use it to test and compare the performance of various extraction methods, including role-specific selectors and conditional generation approaches, focusing on improving the accuracy of event and argument identification in documents.
DocRED	https://doi.org/10.18653/v1/2020.acl-main.670, https://doi.org/10.18653/v1/P19-1074, https://doi.org/10.18653/v1/2021.eacl-main.52	https://doi.org/10.18653/v1/P19-1074	The DocRED dataset is used for constructing and evaluating document-level relation extraction models, particularly focusing on cross-sentence relations in Wikipedia paragraphs. It enables researchers to develop and test models that can handle complex, multi-sentence relationships, and it is also used to compare performance metrics with other relation extraction datasets. This dataset facilitates advancements in understanding and processing document-level relational data.
