Name (extracted)	Citing Article	Citied Article	Features
RAMS	https://doi.org/10.48550/arXiv.2411.08708, https://doi.org/10.1145/3589335.3651921, https://doi.org/10.48550/arXiv.2205.00241 (+4)	https://doi.org/10.18653/v1/2020.acl-main.718	The RAMS dataset is used for document-level event extraction, focusing on identifying and classifying events and their arguments across multiple sentences. It supports multi-sentence argument linking and generative approaches for event entity extraction. With 9124 documents, it provides a large-scale resource for training and evaluating models, particularly for fine-grained event types and complex event structures. Research using RAMS evaluates model performance using metrics like Span F1 and Head F1, and provides detailed data statistics on event distribution and characteristics.
DuEE-fin	https://doi.org/10.48550/arXiv.2206.03377, https://doi.org/10.1145/3589335.3651921, https://doi.org/10.1109/ICASSP48485.2024.10447478 (+1)	https://doi.org/10.18653/v1/D19-1032	The DuEE-fin dataset is primarily used for document-level event extraction in financial documents, particularly in Chinese. It provides a large-scale resource for training and evaluating models focused on 13 financial event types and 92 event roles. Researchers use it to enhance the identification and classification of complex financial events, analyze the distribution of event types and records, and benchmark model performance on a challenging test set. The dataset's focus on document-level context aids in capturing events dispersed across multiple sentences, making it valuable for financial event analysis.
WikiEvents	https://doi.org/10.48550/arXiv.2411.08708, https://doi.org/10.1145/3578741.3578768, https://doi.org/10.48550/arXiv.2404.12242 (+3)	https://doi.org/10.18653/V1/2021.NAACL-MAIN.69	The WikiEvents dataset is primarily used for document-level event extraction, focusing on event detection, entity linking, and argument extraction in Wikipedia articles. Researchers employ it to evaluate and advance conditional generation methods, particularly in overcoming input sequence length limitations. The dataset's 246 documents facilitate detailed analysis and provide data statistics on event and relation distributions, enabling robust performance evaluations and methodological improvements.
CMNEE	https://doi.org/10.48550/arXiv.2411.08708	https://doi.org/10.18653/v1/2020.acl-main.718	The CMNEE dataset is used for document-level event extraction, primarily focusing on open-source Chinese military and financial news. It evaluates event extraction models, particularly in handling multi-event documents. Non-Chinese researchers require translation to use the dataset. Its large scale and focus on specific domains enable detailed analysis and model evaluation in these areas.
DocEE	https://doi.org/10.48550/arXiv.2209.02203, https://doi.org/10.48550/arXiv.2404.12242	https://doi.org/10.18653/v1/2022.naacl-main.291	DocEE is used as a large-scale, fine-grained benchmark for document-level event extraction, containing 27,000+ events and 180,000+ arguments across 27,485 Wikipedia articles. It is employed to train and evaluate models for comprehensive and precise event and argument identification, particularly in cross-domain settings such as natural disasters. The dataset supports research by providing fine-grained annotations and a diverse range of event types, enabling the evaluation of model performance on complex, multi-event documents.
DCFEE	https://doi.org/10.48550/arXiv.2411.08708, https://doi.org/10.1145/3589335.3651921	https://doi.org/10.18653/v1/P18-4009	The DCFEE dataset is used for document-level financial event extraction in Chinese, focusing on multi-event documents. It leverages automatically labeled training data, constructed through a distant supervision approach, which is essential for training models in the financial domain. The dataset is particularly useful for Chinese-language research but requires translation for non-Chinese researchers. It enables the study of complex financial events within documents, enhancing the accuracy of event extraction models.
ChFinAnn	https://doi.org/10.1145/3589335.3651921, https://doi.org/10.1145/3604237.3626844, https://doi.org/10.1109/ICASSP48485.2024.10447478 (+3)	https://doi.org/10.18653/v1/P18-4009	The ChFinAnn dataset is primarily used for evaluating document-level event extraction methods, particularly in the context of Chinese financial announcements. It focuses on identifying and extracting financial events from documents, often using F1 score as a performance metric. The dataset supports both trigger-based and trigger-free approaches, enabling researchers to assess the accuracy and performance of their methods in predicting event types and arguments within Chinese financial documents.
MAVEN	https://doi.org/10.48550/arXiv.2411.08708, https://doi.org/10.48550/arXiv.2404.12242	https://doi.org/10.18653/v1/2020.emnlp-main.129	The MAVEN dataset is used for training and evaluating event detection models across various domains, focusing on 168 event types. It supports general domain event detection tasks, particularly useful for evaluating models on categories like 'Attack' and 'Defending'. With 19,640 labeled events, MAVEN provides a large-scale resource for enhancing model performance and robustness in diverse contexts.
ChiFinAnn	https://doi.org/10.48550/arXiv.2206.03377, https://doi.org/10.1145/3698261	https://doi.org/10.18653/v1/D19-1032	The ChiFinAnn dataset is used for document-level event extraction in Chinese financial news, focusing on identifying and classifying financial events in announcements. It employs distant supervised alignment methods to generate automatically labeled data, enhancing model performance and accuracy in event detection. The dataset supports offline evaluations and analyzes the distribution of event records across sentences, enabling robust research in financial document event extraction.
MUC-4	https://doi.org/10.1145/3589335.3651921, https://doi.org/10.48550/arXiv.2402.06973, https://doi.org/10.1145/3578741.3578768 (+1)	https://doi.org/10.3115/1072064.1072066	The MUC-4 dataset is primarily used for document-level event extraction, focusing on complex event structures and relationships in news articles. It is utilized to evaluate and compare event extraction systems, particularly in template-filling tasks to identify specific event role fillers. The dataset also supports the creation of benchmarks like MUCSUM for evaluating summarization methods and comparing multi-granularity contextualized encoding techniques.
