Name (extracted)	Citing Article	Citied Article	Features	Analysis_Source	Homepage_URL
80Days	https://doi.org/10.18653/v1/2020.acl-main.667	https://www.semanticscholar.org/paper/d8259bcbe9cb0cf5bad6ea25645f4407fc544a1c	The 80Days dataset is primarily used for training and evaluating models in document-level event extraction, focusing on identifying events across multiple sentences. It is also utilized for semantic role labeling, particularly with nominal predicates, and for exploring implicit arguments in a novel domain, covering a limited set of predicate types. This dataset enables researchers to address specific challenges in these areas by providing a structured resource for model development and evaluation.	cited_context	
ACE	https://doi.org/10.18653/v1/2021.findings-emnlp.32	https://www.semanticscholar.org/paper/0617dd6924df7a3491c299772b70e90507b195dc	The ACE dataset is used to define and benchmark the task of event extraction, specifically focusing on detecting event triggers and their arguments within sentences. It serves as a standard evaluation resource for comparing the performance of different event extraction systems, ensuring consistent and reliable assessment across various methodologies.	citing_context	
ACE 2005	https://doi.org/10.48550/arXiv.2309.14258, https://doi.org/10.1609/aaai.v35i14.17478, https://doi.org/10.18653/v1/D19-1032	https://www.semanticscholar.org/paper/50d06ea19d514e9d60347b3399214fe54949e64e	The ACE 2005 dataset is primarily used for event extraction and relation tasks, focusing on annotated news articles and broadcast transcripts. It serves as a benchmark for training and evaluating event extraction systems, particularly in identifying, classifying, and predicting event triggers and their arguments. The dataset supports cross-lingual transfer experiments among English, Chinese, and Arabic, ensuring annotation consistency. Its expert-annotated nature makes it a reliable resource for document-level event extraction, enabling researchers to address specific event types and their contextual nuances.	cited_context	
ACE 2005 (zh)	https://doi.org/10.48550/arXiv.2309.14258	https://doi.org/10.18653/v1/D19-1585	The ACE 2005 (zh) dataset is used for Chinese event extraction, specifically focusing on identifying named entities, relations, and events within news articles. Researchers employ this dataset to develop and evaluate models that can accurately extract and classify these elements, enhancing the understanding and processing of Chinese text in news contexts.	cited_context	
ACE 2005 corpus	https://doi.org/10.1609/aaai.v35i14.17478		The ACE 2005 corpus is used to conduct experiments on relation and event mentions with manual annotations in English, Chinese, and Arabic, specifically focusing on document-level event extraction. This dataset enables researchers to analyze and extract events and their relations within documents, facilitating the development and evaluation of natural language processing systems across multiple languages.	cited_context	
ACE04	https://doi.org/10.48550/arXiv.2402.06973, https://doi.org/10.1109/IJCNN54540.2023.10191142	https://doi.org/10.18653/v1/2020.emnlp-main.751	The ACE04 dataset is used for evaluating event extraction systems, primarily through annotated news articles that include both events and entities. It serves as a benchmark to assess the performance of these systems, enabling researchers to compare different methodologies and approaches in event extraction. The dataset's detailed annotations facilitate precise evaluation and improvement of natural language processing techniques.	citing_context	
Ace05	https://doi.org/10.48550/arXiv.2402.06973, https://doi.org/10.1109/IJCNN54540.2023.10191142, https://doi.org/10.18653/v1/2022.acl-long.466	https://doi.org/10.18653/v1/2020.emnlp-main.751	The ACE05 dataset is used for evaluating event extraction systems, primarily through annotated news articles that include both events and entities. It serves as a benchmark to assess the performance of these systems, enabling researchers to compare different methodologies and approaches in event extraction. The dataset's detailed annotations facilitate precise evaluation and improvement of natural language processing techniques.; The ACE05 dataset is primarily used for evaluating and benchmarking event argument extraction systems in document-level event extraction tasks. It features 36 role types and is employed to identify, classify, and link arguments to events in text. Researchers use it to test and compare the performance of various extraction methods, including role-specific selectors and conditional generation approaches, focusing on improving the accuracy of event and argument identification in documents.	cited_context | citing_context	
AIDA Phase 1 data	https://doi.org/10.18653/v1/2020.acl-main.718	https://doi.org/10.1162/COLI_a_00110	The AIDA Phase 1 data is used for event and role annotations, primarily to serve as a baseline for comparing the coverage and scope of the RAMS dataset in semantic role labeling. It is also utilized for benchmarking against RAMS to evaluate implicit argument identification in nominal predicates. This dataset enables researchers to assess and improve the accuracy and comprehensiveness of semantic role labeling models.	cited_context	
ASTRE	https://doi.org/10.18653/v1/P19-1276	https://doi.org/10.1177/001316446002000104	The ASTRE dataset is mentioned in the citation context but lacks detailed descriptions of its usage, methodology, research questions, or specific characteristics. Therefore, there is insufficient evidence to provide a comprehensive synthesis of how this dataset is actually used in research.	cited_context	
automatically labeled data	https://doi.org/10.18653/v1/D18-1158	https://doi.org/10.18653/v1/P17-1038	The 'automatically labeled data' dataset is used to augment the DMCNN method for large-scale event extraction, providing additional labeled instances to enhance model training. This dataset enables researchers to improve the performance and scalability of event extraction models by increasing the volume of training data.	cited_context	
BC5CDR	https://doi.org/10.18653/v1/P19-1074	https://doi.org/10.18653/v1/D18-1247	The BC5CDR dataset is used for document-level relation extraction, specifically focusing on identifying chemical and disease relations within biomedical texts. This dataset enables researchers to develop and evaluate models that can accurately extract these relationships, enhancing the understanding of biomedical interactions and supporting various applications in biomedicine.	cited_context	
Beyond Nombank	https://doi.org/10.18653/V1/2021.NAACL-MAIN.69, https://doi.org/10.18653/v1/2020.acl-main.718	https://doi.org/10.1162/COLI_a_00110	The 'Beyond NomBank' dataset is used to extend semantic role labeling beyond traditional verb-based predicates, incorporating nominal and adjectival predicates. This extension enhances the coverage and accuracy of semantic role labeling systems, addressing research questions related to the identification and annotation of a broader range of linguistic predicates. The dataset's inclusion of diverse predicate types enables more comprehensive semantic analysis in natural language processing tasks.; The 'Beyond NomBank' dataset is used for semantic role labeling of implicit arguments for nominal predicates, particularly focusing on multi-sentence arguments and nominal event triggers. It extends NomBank by studying implicit arguments beyond existing resources, enhancing document-level event extraction for both verb and nominal predicates. This dataset supports research in improving the accuracy and scope of event extraction methodologies.	cited_context | citing_context	
CausalTB	https://doi.org/10.48550/arXiv.2309.14258	https://doi.org/10.18653/v1/2022.acl-long.466	The CausalTB dataset is used for causal event extraction, specifically to identify causal relationships and chains in narrative texts. It provides annotated texts that enable researchers to evaluate and develop methods for recognizing these causal structures, enhancing the understanding of cause-and-effect dynamics in textual data.	cited_context	
Chfinann	https://doi.org/10.1145/3589335.3651921, https://doi.org/10.1145/3604237.3626844, https://doi.org/10.1109/ICASSP48485.2024.10447478 (+3) (+3)	https://doi.org/10.18653/v1/P18-4009	The ChFinAnn dataset is primarily used for evaluating document-level event extraction methods, particularly in the context of Chinese financial announcements. It focuses on identifying and extracting financial events from documents, often using F1 score as a performance metric. The dataset supports both trigger-based and trigger-free approaches, enabling researchers to assess the accuracy and performance of their methods in predicting event types and arguments within Chinese financial documents.; The ChfinAnn dataset is primarily used for document-level event extraction in the Chinese financial domain, serving as a benchmark for evaluating baseline models. It supports research through distant supervision and a two-stage extraction process involving sequence tagging and key-event-sentence detection, facilitating the development and assessment of event extraction models.	cited_context | citing_context	
Chifinann	https://doi.org/10.48550/arXiv.2206.03377, https://doi.org/10.1145/3698261	https://doi.org/10.18653/v1/D19-1032	The ChiFinAnn dataset is used for document-level event extraction in Chinese financial news, focusing on identifying and classifying financial events in announcements. It employs distant supervised alignment methods to generate automatically labeled data, enhancing model performance and accuracy in event detection. The dataset supports offline evaluations and analyzes the distribution of event records across sentences, enabling robust research in financial document event extraction.; The ChiFinAnn dataset is used for Chinese financial event extraction, focusing on document-level annotations to enhance and evaluate the accuracy of event detection models. It supports research by analyzing the distribution of event records across sentences in financial news articles and conducting offline evaluations to assess model performance in a document-level context.	cited_context | citing_context	
Chinese financial dataset from the Interdisciplinary Information Science Research at Tsinghua University	https://doi.org/10.1145/3584376.3584478	https://doi.org/10.18653/v1/D19-1032		citing_context	
CIFAR-10	https://doi.org/10.48550/arXiv.2402.06973	https://doi.org/10.18653/v1/P19-1213	The CIFAR-10 dataset is used to evaluate summarization systems, particularly focusing on different topics and evaluation criteria compared to MUC-4/MUCSUM. It enables researchers to assess the performance of summarization models across diverse content, providing a benchmark for comparing system effectiveness in generating concise and accurate summaries.	citing_context	
