Name (extracted)	Citing Article	Citied Article	Features
MVSEC	https://doi.org/10.1109/ICRA48891.2023.10160605 (2023), https://doi.org/10.1109/LRA.2023.3269950 (2022), https://doi.org/10.1109/CVPR52688.2022.00848 (2022) (+6)	https://doi.org/10.1109/LRA.2018.2800793 (2018)	The MVSEC dataset is primarily used for evaluating and comparing event-based stereo depth estimation methods. It supports research in 3D perception with event cameras, facilitating the assessment of performance metrics, consistency, and generalization of models. The dataset includes sequences captured in an indoor flying room, enabling benchmarking of optical flow estimation and cross-validation against state-of-the-art techniques.
DSEC	https://doi.org/10.1007/978-3-031-92460-6_5 (2024), https://doi.org/10.1109/TPAMI.2024.3396116 (2024), https://doi.org/10.1109/TMM.2024.3387690 (2023) (+5)	https://doi.org/10.1109/LRA.2021.3068942 (2021)	The DSEC dataset is primarily used for evaluating and improving event-based stereo depth estimation, particularly in driving scenarios. It supports research on 3D perception with event cameras, focusing on depth estimation accuracy, robustness under varying conditions, and the integration of motion information. The dataset facilitates cross-validation, benchmarking against state-of-the-art methods, and hyperparameter optimization with raw LiDAR data. Specific applications include assessing the effectiveness of time-aware warps, improving edge and contour accuracy, and evaluating performance in challenging scenes like garage doors.
VECtor	https://doi.org/10.1109/LRA.2023.3269950 (2022), https://doi.org/10.1109/TIV.2024.3412595 (2023), https://doi.org/10.1109/TPAMI.2025.3586559 (2024)	https://doi.org/10.1109/LRA.2022.3186770 (2022)	The VECtor dataset is primarily used to evaluate multi-sensor SLAM techniques, particularly focusing on the integration of stereo event cameras with other sensors such as standard cameras, RGB-D sensors, LiDAR, and IMU. It serves as a versatile benchmark for performance comparison, enabling researchers to assess the robustness and accuracy of algorithms in various real-world scenarios. The dataset provides high-quality ground truth values and sensor calibration parameters, facilitating comprehensive evaluations and comparisons between event-based and RGB image-based methods.
M3ED	https://doi.org/10.48550/arXiv.2408.04633 (2024), https://doi.org/10.1007/978-3-031-92460-6_5 (2024)	https://doi.org/10.1109/ICCV.1999.791245 (2001)	The M3ED dataset is primarily used for evaluating and generating figures related to event-based stereo depth estimation, with a focus on integrating raw LiDAR measurements and event-based data. It is employed to assess the performance of stereo depth estimation methods, particularly in handling misaligned LiDAR data. The dataset also supports the evaluation of strategies across multiple robots, sensors, and environments, enhancing the robustness and versatility of event-based systems.
EVIMO2	https://doi.org/10.1007/978-3-031-92460-6_5 (2024), https://doi.org/10.1109/TPAMI.2025.3586559 (2024)	https://doi.org/10.48550/arXiv.2205.03467 (2022)	The EVIMO2 dataset is primarily used for motion segmentation, optical flow, structure from motion, and visual inertial odometry in indoor scenes, particularly with monocular and trinocular event cameras. It provides a rich resource for evaluating event-based stereo algorithms and assessing their performance in various indoor environments. The dataset's comprehensive coverage of these areas enables researchers to thoroughly test and validate their methods.
Indoor Flying dataset	https://doi.org/10.1109/LSP.2024.3398531 (2024), https://doi.org/10.1109/CVPR52688.2022.00848 (2022)	https://doi.org/10.1109/LRA.2018.2800793 (2018)	The Indoor Flying dataset is used for preprocessing and splitting in event-based stereo depth estimation, particularly for indoor flying scenarios. It is divided into three subsets, with split 1 and split 3 utilized for training and evaluation, respectively. This dataset enables researchers to assess and improve event-based stereo depth estimation methods in controlled indoor environments.
DENSE	https://doi.org/10.1109/ICRA48891.2023.10160605 (2023)	https://doi.org/10.1109/LRA.2018.2800793 (2018)	The DENSE dataset is primarily used for validating methods in 3D perception and monocular dense depth estimation using synthetic event data. It provides synthetic samples of objects such as trees and bus stations, which are used for both initial training and validation of neural networks. This enables researchers to test and refine algorithms for depth estimation in event-based systems.
Multivehicle Stereo Event Camera Dataset	https://doi.org/10.48550/arXiv.2504.15863 (2025), https://doi.org/10.1109/TMM.2024.3387690 (2023), https://doi.org/10.1109/ICRA48891.2023.10160605 (2023)	https://doi.org/10.1109/LRA.2018.2800793 (2018)	The Multivehicle Stereo Event Camera Dataset is used to evaluate event-based stereo depth estimation methods, highlighting its importance due to the scarcity of similar datasets with ground truth depth. It assesses method effectiveness across multiple vehicles but notes limitations in scene diversity. The dataset employs mDAVIS346 sensors to capture real-world scenarios, enabling 3D perception research with event cameras.
DSEC disparity benchmark	https://doi.org/10.1109/TPAMI.2025.3586559 (2024), https://doi.org/10.48550/arXiv.2408.05452 (2024), https://doi.org/10.1109/TIM.2025.3566813 (2025)	https://doi.org/10.1109/ICCV48922.2021.00422 (2021)	The DSEC disparity benchmark dataset is used to evaluate the performance of event-based stereo depth estimation methods. It focuses on metrics such as mean average disparity error (MAE), root mean square error (RMSE), and pixel error rates (1PE, 2PE). The dataset enables researchers to assess the accuracy and robustness of disparity maps generated by different algorithms, facilitating comparisons with state-of-the-art techniques.
MVSEC dataset	https://doi.org/10.48550/arXiv.2504.15863 (2025), https://doi.org/10.1080/01691864.2020.1821770 (2020), https://doi.org/10.1109/ICRA48891.2023.10160605 (2023)	https://doi.org/10.1109/LRA.2018.2800793 (2018)	The MVSEC dataset is used to evaluate and validate methods for event-based stereo depth estimation, particularly focusing on indoor flying sequences and dynamic environments. It assesses the accuracy, robustness, and temporal-spatial consistency of depth estimation techniques, including Mixed-EF2DNet, using real-world event camera data. This dataset enables researchers to test and improve algorithms in challenging, real-world conditions.
