Name (extracted)	Citing Article	Citied Article	Features	Analysis_Source	Homepage_URL
Multi Vehicle Stereo Event Camera Dataset (MVSEC)	https://doi.org/10.1109/ISCAS51556.2021.9401402 (2021), https://doi.org/10.1609/aaai.v35i2.16171 (2021), https://doi.org/10.1109/TCSVT.2022.3189480 (2022)	https://www.semanticscholar.org/paper/6fe028a54dad296b6d25c50baaa47511df6d4123	The Multi Vehicle Stereo Event Camera (MVSEC) Dataset is used to evaluate event-based stereo algorithms, leveraging its indoor and outdoor sequences with varying illumination and speeds. This dataset enables researchers to test the robustness and accuracy of stereo depth estimation methods under diverse conditions, focusing on algorithm performance in dynamic environments.	cited_context | citing_context	
3planes	https://doi.org/10.1007/978-3-030-01246-5_15 (2018)	https://doi.org/10.1177/0278364917691115 (2016)	The '3planes' dataset is used to simulate event-based data for pose estimation, offering a controlled environment to test algorithms under diverse conditions. This enables researchers to evaluate and refine pose estimation techniques systematically, ensuring robust performance across varying scenarios.	cited_context	
An Event-based Vision Dataset for Visual Navigation Tasks in Agricultural Environments	https://doi.org/10.1109/LRA.2022.3186770 (2022)	https://doi.org/10.1109/ICRA48506.2021.9561741 (2021)		cited_context	
CoSEC	https://doi.org/10.1109/TPAMI.2025.3586559 (2024)	https://doi.org/10.48550/arXiv.2408.08500 (2024)	The CoSEC dataset is used for aligning pixels between frame-based and event cameras to facilitate multi-modal fusion in autonomous driving. This alignment is crucial for integrating data from different camera types, enhancing the accuracy and robustness of perception systems. The dataset supports research focused on technical integration methods, enabling more effective use of diverse sensor inputs in real-world driving scenarios.	citing_context	
D S E C	https://doi.org/10.1109/TPAMI.2025.3586559 (2024)	https://doi.org/10.1007/978-3-030-01246-5_15 (2018)	The D S E C dataset is used for evaluating event-based stereo depth estimation methods, particularly focusing on semi-dense 3D reconstruction with stereo event cameras. Researchers employ this dataset to assess the performance of algorithms in generating accurate depth maps from event data, leveraging its specialized characteristics to advance the field of event-based vision.	citing_context	
Davis	https://doi.org/10.1177/1729881417752759 (2018)	https://doi.org/10.1109/JSSC.2014.2342715 (2014)	The DAVIS dataset is used to capture high-resolution and low-latency event-based data for stereo depth estimation. It employs a quadruplet representation (time, coordinates, polarity) to process event streams, enabling precise and efficient depth estimation in dynamic environments. This dataset facilitates research focused on improving the accuracy and responsiveness of event-based stereo vision systems.; The DAVIS dataset is used for capturing event-based data for stereo depth estimation, specifically focusing on high-resolution and low-latency event streams. It employs a quadruplet representation (time, x, y, polarity) to enable precise and efficient processing of visual events, facilitating research in real-time depth perception and dynamic scene understanding.	cited_context | citing_context	
DAVIS sequences	https://doi.org/10.1109/TIV.2024.3412595 (2023)	https://doi.org/10.1007/978-3-030-01246-5_15 (2018)	The DAVIS sequences dataset is used to evaluate stereo depth estimation methods, particularly focusing on the alignment of event-based and frame-based sensors that share the same photoreceptor pixel array. This dataset enables researchers to assess the performance of algorithms in integrating data from these dual-modal sensors, addressing challenges in sensor synchronization and data fusion.	citing_context	
DAVIS240	https://doi.org/10.1109/ECMR.2019.8870946 (2019)	https://doi.org/10.1109/JSSC.2014.2342715 (2014)	The DAVIS240 dataset is primarily used for calibration purposes in event-based vision research. It provides standard camera frames that ensure accurate setup before applying event-only processing methods. This calibration is crucial for maintaining the precision of subsequent event-based algorithms, enabling reliable and consistent experimental results.	citing_context	
DAVIS346	https://doi.org/10.1080/01691864.2020.1821770 (2020)	https://doi.org/10.1109/JSSC.2014.2342715 (2014)	The DAVIS346 dataset is used to collect stereo event sequences with ground truth pose and depth information. It is specifically employed for evaluating event-based stereo depth estimation algorithms. The dataset's provision of synchronized event data and ground truth enables researchers to accurately assess the performance of these algorithms in real-world scenarios.	citing_context	
DAVISm346b	https://doi.org/10.1109/LRA.2018.2800793 (2018)	https://doi.org/10.1109/ICRA.2014.6906892 (2014)	The DAVISm346b dataset is used to provide event streams from synchronized and calibrated dynamic vision sensors, capturing long indoor and outdoor sequences under varying conditions. It includes depth images and pose data, enabling research in stereo depth estimation. This dataset supports the development and evaluation of algorithms by offering realistic, diverse, and well-calibrated data.	cited_context	
Ddd17	https://doi.org/10.1109/LRA.2018.2800793 (2018)	https://www.semanticscholar.org/paper/e9496ccf44f6ebca4f01c31a012bdab7cac4a65c (2017)	The DDD17 dataset is used to provide a large collection of data from a DAVIS 346B event-based sensor mounted in a car, capturing 12 hours of driving scenarios. It is employed for end-to-end learning of driving-related tasks, leveraging the unique temporal resolution and low latency of event-based sensors to enhance real-time driving applications.; The DDD17 dataset is used to provide a large collection of data from a DAVIS 346B event-based sensor mounted in a car, capturing 12 hours of driving scenarios. It is employed for end-to-end learning of driving-related tasks, leveraging the unique temporal resolution and dynamic range of event-based sensors to enhance the training of machine learning models for real-time driving applications.	cited_context | citing_context	
DENSE	https://doi.org/10.1109/ICRA48891.2023.10160605 (2023)	https://doi.org/10.1109/LRA.2018.2800793 (2018)	The DENSE dataset is primarily used for validating methods in 3D perception and monocular dense depth estimation using synthetic event data. It provides synthetic samples of objects such as trees and bus stations, which are used for both initial training and validation of neural networks. This enables researchers to test and refine algorithms for depth estimation in event-based systems.	citing_context	
depth images and pose data	https://doi.org/10.1109/LRA.2018.2800793 (2018)	https://doi.org/10.1109/ICRA.2014.6906892 (2014)	The dataset of depth images and pose data is used to enhance the quality of event-based stereo depth estimation. It provides accurate depth images and pose information at high frequency, generated from a lidar system and motion capture, which improves the precision and reliability of depth estimation in dynamic environments.	citing_context	
DHP19	https://doi.org/10.1109/ISCAS51556.2021.9401402 (2021)	https://doi.org/10.3389/fnbot.2020.568283 (2020)	The DHP19 dataset is used to evaluate the robustness and performance of event-based approaches for neuromorphic, on-chip depth estimation. Researchers focus on assessing the reliability of these methods, leveraging the dataset's characteristics to test and validate their algorithms in real-world conditions. This enables the development and refinement of more efficient and accurate depth estimation techniques in neuromorphic computing.	citing_context	
