Name (extracted)	Citing Article	Citied Article	Features
ConceptNet	https://doi.org/10.1109/TNNLS.2020.3045034 (2020), https://doi.org/10.48550/arXiv.2205.11501 (2022), https://doi.org/10.1145/3573201 (2022) (+7)	https://doi.org/10.1609/aaai.v31i1.11164 (2016)	ConceptNet is used to gather and enrich knowledge bases with general and commonsense knowledge, particularly through multilingual and open-source data. It contributes to constructing knowledge graphs by providing a large number of facts and commonsense triples, which enhance reasoning capabilities in various applications. Specifically, it is utilized to improve Visual Question Answering (VQA) systems by supplying relevant linguistic subgraphs and general knowledge, thereby enhancing the system's ability to reason about everyday concepts and integrate background knowledge. Additionally, ConceptNet aids in retrieving 1-hop neighbor nodes and pruning irrelevant nodes, improving the relevance of concept nodes in knowledge graph settings.
DBpedia	https://doi.org/10.1109/TNNLS.2020.3045034 (2020), https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://doi.org/10.1145/3474085.3475470 (2021) (+4)	https://doi.org/10.1145/2556195.2556245 (2014)	DBpedia is used to extract structured information from Wikipedia, constructing a large-scale, linked data resource that enhances knowledge graphs with relational facts. It provides hasPart and isA triples, contributing over 193,449 facts. The dataset supports knowledge-driven applications like recommendation systems, information retrieval, and machine learning, and is utilized to provide categorical knowledge for Visual Question Answering (VQA), enhancing the system's ability to understand and answer questions about visual content. DBpedia's structured content from Wikimedia projects enriches multi-modal knowledge graph reasoning, offering diverse and interconnected data.
Freebase	https://www.semanticscholar.org/paper/55a881988f757ff6fdac74429e39cb5b46aa3f47 (2019), https://doi.org/10.1145/3474085.3475470 (2021), https://doi.org/10.1145/3581783.3612151 (2023) (+7)	https://doi.org/10.1145/1376616.1376746 (2008)	Freebase is used as a collaboratively created graph database for structuring human knowledge, integrating data from diverse sources like Wikipedia and NNDB. It supports knowledge-driven applications such as recommendation systems, information retrieval, and machine learning. Freebase is also utilized for tasks like question answering and evaluating entity matching approaches, focusing on linking entities across different knowledge bases. Its extensive structured data enables researchers to enhance and evaluate various knowledge-driven systems.
Visual Genome	https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://www.semanticscholar.org/paper/55a881988f757ff6fdac74429e39cb5b46aa3f47 (2019), https://doi.org/10.48550/arXiv.2406.02030 (2024) (+2)	https://doi.org/10.1007/s11263-016-0981-7 (2016)	The Visual Genome dataset is extensively used for multi-modal reasoning, particularly in connecting language and vision through dense image annotations. It provides location triples of visual objects and supports scene graph parsing, which enhances visual relationship detection and reasoning. The dataset is crucial for constructing and evaluating scene graphs, improving visual question answering, and pretraining models for multi-modal knowledge graph reasoning. Its rich annotations enable researchers to integrate visual and textual information effectively, advancing the field of multi-modal reasoning.
YAGO	https://doi.org/10.1145/3581783.3612151 (2023), https://doi.org/10.1109/ACCESS.2019.2933370 (2019), https://doi.org/10.1109/TKDE.2022.3224228 (2022) (+4)	https://doi.org/10.1145/1242572.1242667 (2007)	YAGO is primarily used as a knowledge graph to enhance semantic understanding and reasoning over entities, often serving as a core of semantic knowledge for unifying different knowledge sources. It is utilized in various applications, including temporal Knowledge Graph Reasoning, where it incorporates time information to improve data representation and querying. Additionally, YAGO is employed in knowledge-driven applications such as recommendation systems, information retrieval, and machine learning, leveraging its multilingual knowledge from Wikipedias. It is also used to evaluate entity matching approaches, focusing on linking entities across different knowledge bases.
DBP15K	https://doi.org/10.1145/3581783.3611786 (2022), https://doi.org/10.48550/arXiv.2307.16210 (2023)	https://doi.org/10.48550/arXiv.2209.00891 (2022)	The DBP15K dataset is primarily used to evaluate cross-lingual entity alignment methods, particularly those involving attribute-preserving embeddings and multi-modal knowledge graph alignment. It focuses on entities with attached images and is often used to assess the performance and stability of ResNet-152 vision encoders with 2048-dimensional vision features. This dataset enables researchers to test and refine models that integrate visual and textual data for improved entity alignment across multiple language pairs.
MSCOCO	https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://doi.org/10.1609/AAAI.V34I07.6731 (2020), https://doi.org/10.1109/CVPR.2018.00170 (2017)	https://doi.org/10.1007/978-3-319-10602-1_48 (2014)	The MSCOCO dataset is extensively used in research for image captioning, object detection, and visual recognition, often to evaluate and compare the performance of different models. It contains over 100K images with multiple captions each, enabling detailed assessments of image-text alignment and multi-modal reasoning capabilities. Researchers utilize it to enhance the precision of visual object extraction, generate textual descriptions from images, and conduct multi-label classification experiments, leveraging its rich annotations and diverse visual contexts.
Wikidata	https://doi.org/10.1609/aaai.v33i01.33018876 (2019), https://doi.org/10.1145/3474085.3475470 (2021), https://doi.org/10.18653/v1/2022.acl-demo.23 (2022) (+2)	https://doi.org/10.1145/1376616.1376746 (2008)	Wikidata is used as a large-scale, collaboratively edited Knowledge Graph containing 50 million items across various domains. It supports multi-modal reasoning and knowledge integration by providing structured data and entities. Researchers use it to retrieve structured information via SPARQL queries, answer templated questions about people in images, and enhance multi-modal reasoning with rich semantic information. It serves as a source of relational facts for tasks such as question answering, recommendation systems, and multimedia reasoning.
FVQA	https://doi.org/10.1609/aaai.v33i01.33018876 (2019), https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://doi.org/10.1109/TNNLS.2020.3045034 (2020) (+1)	https://doi.org/10.1109/TPAMI.2017.2754246 (2016)	The FVQA dataset is used to evaluate methods that integrate knowledge graphs with image representations for factual visual question answering. It focuses on the accuracy of answers generated from combined visual and textual inputs, emphasizing detailed visual reasoning, commonsense reasoning, and the integration of external knowledge sources. This dataset captures relationships among mentions and entities, providing knowledge about named entities and their relations in images, and is used to obtain questions directly from existing knowledge bases. It enables research by facilitating the evaluation of models that combine textual and visual information to answer questions accurately.
FB15k-237	https://doi.org/10.1145/3545573 (2022), https://doi.org/10.48550/arXiv.2212.05767 (2022), https://doi.org/10.1109/TPAMI.2024.3417451 (2022) (+1)	https://doi.org/10.1609/aaai.v32i1.11535 (2017)	FB15k-237 is primarily used to train and evaluate knowledge graph completion models, focusing on entity linking, relation prediction, and entity prediction tasks. It is employed to reduce redundancy and improve evaluation, often serving as a baseline for comparing different methods, including graph convolutional networks and multimodal approaches that integrate visual and textual data. The dataset enables researchers to assess model performance and convergence speeds in various knowledge graph reasoning tasks.
KB-VQA	https://doi.org/10.1609/aaai.v33i01.33018876 (2019), https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://doi.org/10.18653/v1/2020.findings-emnlp.44 (2020)	https://doi.org/10.24963/IJCAI.2017/179 (2015)	The KB-VQA dataset is used for knowledge-based visual question answering, focusing on integrating external knowledge bases with image understanding. It is employed to compare against datasets with limited images and external knowledge, emphasizing the need for comprehensive data in multi-modal knowledge graph reasoning. The dataset supports explicit knowledge-based reasoning, generating template-based questions and capturing relationships among mentions and entities in images. This enables researchers to enhance visual question answering by leveraging structured knowledge graphs.
WebChild	https://doi.org/10.1109/TNNLS.2020.3045034 (2020)	https://doi.org/10.1609/aaai.v31i1.11164 (2016)	The WebChild dataset is used to collect and organize commonsense knowledge triplets from the web, contributing to a knowledge base with 193,449 facts. It focuses on harvesting and structuring web-derived information, enabling the construction of a multi-modal knowledge base. This dataset supports research in organizing and utilizing large-scale commonsense knowledge for various applications.
FB15K	https://doi.org/10.48550/arXiv.2212.05767 (2022), https://doi.org/10.1145/3308558.3313612 (2019), https://doi.org/10.1109/TPAMI.2024.3417451 (2022) (+4)	https://doi.org/10.1609/aaai.v32i1.11535 (2017)	The FB15K dataset is primarily used for evaluating and training knowledge graph embedding models, focusing on relation prediction and link prediction tasks. It is employed to assess models' ability to predict missing links in multi-relational data, often using a medium-sized subset of Freebase entities and relations. The dataset supports research in knowledge graph completion, entity linking, and entity alignment, with some studies incorporating multimodal reasoning by adding images to entities. It is frequently split into training and testing sets to evaluate model performance, particularly in tasks such as TransE modeling.
FB15K-DB15K	https://doi.org/10.1145/3534678.3539244 (2022), https://doi.org/10.1145/3581783.3611786 (2022), https://doi.org/10.1609/aaai.v38i8.28762 (2024) (+1)	https://doi.org/10.1007/978-3-030-55130-8_12 (2020)	The FB15K-DB15K dataset is primarily used for evaluating and training entity alignment methods in multi-modal knowledge graphs. It focuses on aligning entities across different modalities and datasets, such as FB15K and DB15K. Research employs this dataset to compare various alignment techniques (e.g., MSNEA, PoE, MMEA, EVA) using metrics like Hits@1, Hits@10, and MRR. Studies often use different training-testing splits (2:8, 5:5, 8:2) and explore the impact of multi-modal knowledge on alignment performance, particularly in monolingual settings.
VisualGenome	https://doi.org/10.48550/arXiv.2205.11501 (2022), https://doi.org/10.48550/arXiv.2210.08901 (2022)	https://doi.org/10.1007/s11263-016-0981-7 (2016)	The VisualGenome dataset is used to connect language and vision through dense image annotations, supporting the integration of knowledge graphs into VQA systems and enabling the retrieval of relevant visual subgraphs. It is employed to train models on scene graphs, facilitating multi-modal reasoning and enhancing understanding of visual content by linking linguistic and visual elements.
kgbench	https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://doi.org/10.1109/TPAMI.2024.3417451 (2022)	https://doi.org/10.1007/978-3-030-77385-4_37 (2021)	The kgbench dataset is used to evaluate and benchmark relational and multimodal machine learning methods across a collection of knowledge graph datasets. It focuses on assessing performance across different modalities, enabling researchers to compare and analyze the effectiveness of various models in handling complex, multimodal data.
