Name (extracted)	Citing Article	Citied Article	Features
ConceptNet	https://doi.org/10.3233/sw-233510 (2023), https://doi.org/10.1145/3573201 (2022), https://doi.org/10.1109/TKDE.2022.3224228 (2022) (+5)	https://doi.org/10.1609/aaai.v31i1.11164 (2016)	ConceptNet is used to enhance knowledge graphs and multi-modal reasoning by representing commonsense knowledge in a graph format, where nodes are concepts and edges are relations. It is leveraged as an external knowledge corpus to enrich relation learning, object graphs, and scene graphs, particularly in visual question answering and event information granularity. Its multilingual support and general knowledge base enable researchers to integrate external knowledge, improving multi-modal reasoning capabilities and system understanding of everyday concepts and relationships.
DBpedia	https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://doi.org/10.48550/arXiv.2506.11012 (2025), https://doi.org/10.1145/3474085.3475470 (2021) (+8)	https://doi.org/10.3233/SW-140134 (2015)	DBpedia is used as a large-scale, multilingual knowledge base extracted from Wikipedia, providing structured information for constructing and enhancing knowledge graphs. It is utilized to extract raw triplet facts, including hasPart/isA relationships, and to offer categorical knowledge for Visual Question Answering. The dataset highlights the incompleteness of entity-image associations, focusing on the integration of structured information and the lack of visual data for many entities.
DB15K	https://www.semanticscholar.org/paper/d9188b30d72c15fee4733c0602aaf3cc2b1b6f7a (2024), https://doi.org/10.1609/aaai.v39i12.33454 (2024), https://doi.org/10.1145/3545573 (2022) (+7)	https://doi.org/10.1007/978-3-030-21348-0_30 (2019)	The DB15K dataset is primarily used for evaluating and extending multi-modal knowledge graph reasoning, particularly in cross-lingual and cross-modal entity and relation prediction tasks. It enhances the original DBpedia dataset by incorporating images, enabling researchers to study diverse entity categories and improve entity representation and reasoning. The dataset is utilized to train and evaluate models, focusing on metrics like MRR, Hit@1, Hit@3, and Hit@10, and to assess computational efficiency and performance improvements in link prediction and entity alignment.
Freebase	https://doi.org/10.48550/arXiv.2506.11012 (2025), https://doi.org/10.1145/3474085.3475470 (2021), https://doi.org/10.1109/ICDE60146.2024.00061 (2024) (+7)	https://doi.org/10.1145/1376616.1376746 (2008)	Freebase is used as a collaboratively created graph database for structuring human knowledge, integrating data from diverse sources like Wikipedia. It supports various research tasks, including entity matching, recommendation systems, and multimedia reasoning. Researchers use it to evaluate entity matching approaches, provide pre-trained entity embeddings for multi-relational data modeling, and represent entities and relations in a graph structure. Its large, structured format enables the evaluation of multi-modal reasoning and the integration of diverse information sources.
Visual Genome	https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://doi.org/10.1145/3579051.3579073 (2022), https://doi.org/10.3233/sw-233510 (2023) (+6)	https://doi.org/10.1007/s11263-016-0981-7 (2016)	The Visual Genome dataset is primarily used for training models in visual relationship detection and scene graph generation, enhancing multi-modal reasoning by connecting language and vision through dense image annotations. It supports tasks such as zero-shot phrase grounding, object detection, and relationship prediction, leveraging detailed object and attribute annotations to improve model performance in understanding complex visual scenes.
YAGO	https://doi.org/10.48550/arXiv.2506.11012 (2025), https://doi.org/10.1109/ICDE60146.2024.00061 (2024), https://doi.org/10.1145/3581783.3612151 (2023) (+6)	https://doi.org/10.1145/1242572.1242667 (2007)	YAGO is used as a core semantic knowledge base that integrates WordNet and Wikipedia, providing structured data about entities and their relationships. It enhances the representation of entities and supports various applications such as entity matching, image tagging, social event analysis, video recognition, recommendation systems, information retrieval, and machine learning. YAGO's multilingual and structured nature makes it valuable for enriching semantic web applications and multi-modal reasoning tasks.
MSCOCO	https://doi.org/10.1609/aaai.v38i12.29280 (2024), https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://doi.org/10.1609/aaai.v36i2.20123 (2022) (+1)	https://doi.org/10.1007/978-3-319-10602-1_48 (2014)	The MSCOCO dataset is primarily used for training and evaluating models in multi-modal tasks, including object recognition, cross-modal hashing, and image-text matching. It provides bounding boxes and categories for object detection, enabling the construction of multi-modal knowledge graphs and vision-based knowledge graphs. The dataset supports the evaluation of various algorithms and methods, such as cross-modal hashing, image-to-text and text-to-image retrieval, and multi-modal reasoning tasks, often using metrics like Mean Average Precision (MAP). It also facilitates the investigation of learning components and data augmentation techniques in intra-modal contrastive learning.
DBP15K	https://doi.org/10.48550/arXiv.2307.16210 (2023), https://doi.org/10.3390/app13116747 (2023), https://www.semanticscholar.org/paper/fd43bd0f6a83b3a9c0debf6f0fa10abdf6ad394a (2024) (+3)	https://doi.org/10.1007/978-3-030-21348-0_30 (2019)	The DBP15K dataset is primarily used for evaluating cross-lingual entity alignment methods, focusing on attribute-preserving embeddings and the integration of visual features. It is employed in experiments using pre-trained ResNet-152 and VGG vision encoders, assessing performance metrics like Hits@1, Hits@10, and MRR. The dataset supports research on model stability, robustness, and efficiency in multi-modal knowledge graph alignment across various language pairs, including Chinese-English, Japanese-English, and French-English.
YAGO15K	https://doi.org/10.3390/app13116747 (2023), https://doi.org/10.1145/3545573 (2022), https://doi.org/10.1145/3637528.3671769 (2024) (+2)	https://doi.org/10.1007/978-3-030-21348-0_30 (2019)	The YAGO15K dataset is primarily used for evaluating multi-modal knowledge graph reasoning, with a focus on entity and relation prediction, particularly incorporating temporal and geographical information. It is also utilized for cross-KG reasoning and entity alignment, including cross-lingual and cross-KG tasks such as linking entities between YAGO and DBpedia. The dataset supports the evaluation of various models, such as MEAFE, CMGNN, and HRGAT, by providing a rich, multi-modal context that enhances the assessment of their performance in reasoning and alignment tasks.
Wikidata	https://doi.org/10.1145/3626246.3654757 (2024), https://doi.org/10.1109/ICDE60146.2024.00061 (2024), https://doi.org/10.24963/ijcai.2024/281 (2024) (+5)	https://doi.org/10.1145/1376616.1376746 (2008)	Wikidata is used as a structured and linked open data resource, providing a comprehensive snapshot of diverse data types including images, text, tables, and audio files. It enhances multi-modal knowledge graph reasoning by linking news entities and obtaining contextual descriptions, thereby constructing rich news background knowledge. The dataset's rich semantic information and temporal capabilities enable enhanced reasoning and integration of structured information.
FB15K-DB15K	https://doi.org/10.3390/app13116747 (2023), https://doi.org/10.48550/arXiv.2407.19625 (2024), https://doi.org/10.1145/3637528.3671769 (2024) (+3)	https://doi.org/10.1007/978-3-030-21348-0_30 (2019)	The FB15K-DB15K dataset is primarily used for cross-KG entity alignment and reasoning, focusing on the alignment between Freebase and DBpedia subsets. It is employed in evaluating the performance of pre-trained models like VGG-16 for visual pivoting and assessing multi-modal reasoning in cross-KG settings. The dataset supports ablation experiments to verify correction schemes and cross-lingual alignment, and it is split into training and testing sets in various proportions (2:8, 5:5, 8:2) to evaluate model performance and computational challenges.
PHEME	https://doi.org/10.48550/arXiv.2306.15946 (2023), https://doi.org/10.1145/3451215 (2021)	https://doi.org/10.1007/978-3-319-67217-5_8 (2017)	The PHEME dataset is primarily used for rumor detection in social media, particularly focusing on microblogs and multimedia posts from platforms like Twitter. It is employed to evaluate and compare the performance of various models, including multi-modal approaches, in detecting rumors during breaking news events. The dataset facilitates research by providing a benchmark for testing the robustness and effectiveness of different components, such as knowledge concept integration, entity consistency, and contextual information, in enhancing rumor detection accuracy.
Flickr30k	https://doi.org/10.1609/aaai.v38i12.29280 (2024), https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://doi.org/10.48550/arXiv.2501.04173 (2025) (+2)	https://doi.org/10.1007/978-3-319-10602-1_48 (2014)	The Flickr30k dataset is primarily used for evaluating and training models in multi-modal tasks, such as image captioning, visual grounding, and image-text matching. It provides a diverse set of images with multiple captions, enabling researchers to fine-tune and evaluate models on tasks like generating textual descriptions from images, aligning visual and textual modalities, and cross-modal hashing retrieval. The dataset supports methodologies including contrastive knowledge distillation, weakly supervised learning, and feature extraction with mechanisms like Faster RCNN and BUTD. It is also used to set hyperparameters for momentum encoders and to improve detectors on image-caption pairs, enhancing the alignment and reasoning capabilities between visual and textual data.
FB15K	https://doi.org/10.48550/arXiv.2408.11526 (2024), https://doi.org/10.1145/3637528.3671769 (2024), https://doi.org/10.1145/3656579 (2024) (+7)	https://doi.org/10.1007/978-3-030-21348-0_30 (2019)	FB15K is primarily used for evaluating and benchmarking knowledge graph embedding models, focusing on link prediction and relational reasoning tasks. It is often extended to include images and additional relation types, enhancing its utility for multi-modal knowledge graph reasoning. The dataset supports entity and relation prediction, entity alignment, and cross-KG reasoning experiments, typically split into training and testing sets to assess model performance.
CSKG	https://doi.org/10.3233/sw-233510 (2023)	https://doi.org/10.1007/978-3-030-77385-4_41 (2020)	The CSKG dataset is used to consolidate and integrate heterogeneous common sense knowledge from multiple sources, enhancing multi-modal reasoning capabilities. It is employed to enrich language models and scene graphs with relevant common sense information, improving tasks such as common sense question answering and visual understanding. The dataset's comprehensive and systematically consolidated nature allows researchers to compute node similarity, extract relevant triplets, and refine graph structures, thereby enhancing the reasoning capabilities of multi-modal systems.
WordNet	https://doi.org/10.48550/arXiv.2506.11012 (2025), https://doi.org/10.3233/sw-233510 (2023), https://doi.org/10.1109/TKDE.2022.3224228 (2022)	https://doi.org/10.1145/219717.219748 (1995)	WordNet is used as a lexical database for English, providing structured representations of words and their meanings. It enhances scene graphs generated by models like Faster R-CNN, enriching lexical and semantic relationships in multi-modal reasoning tasks. Specifically, it improves the semantic representation of events and their relations in knowledge graphs, aiding in scene graph generation and common sense graph enhancement.
WEIBO	https://doi.org/10.48550/arXiv.2306.15946 (2023), https://doi.org/10.1145/3451215 (2021)	https://doi.org/10.1145/3123266.3123454 (2017)	The WEIBO dataset is primarily used for rumor detection in Chinese microblogging platforms, focusing on multimodal data integration and analysis. It is employed to train and evaluate models that fuse textual and visual information, comparing the performance of different methods, including KMAGCN and KhiCL, to enhance the accuracy of rumor detection in social media contexts.
MKG-W	https://www.semanticscholar.org/paper/d9188b30d72c15fee4733c0602aaf3cc2b1b6f7a (2024), https://www.semanticscholar.org/paper/fd43bd0f6a83b3a9c0debf6f0fa10abdf6ad394a (2024), https://doi.org/10.1109/KSE63888.2024.11063656 (2024) (+1)	https://doi.org/10.1007/978-3-030-21348-0_30 (2019)	The MKG-W dataset is primarily used to evaluate and enhance multi-modal knowledge graph reasoning, focusing on the integration of textual and visual information. It is employed in assessing model performance in tasks such as link prediction, using metrics like MRR and Hit@1. The dataset supports ablation studies to analyze the impact of different components and is used to configure vision encoders like BEiT. It facilitates the enhancement of representation learning with multimodal data, specifically for reasoning tasks.
FB15k-237	https://doi.org/10.1145/3545573 (2022), https://doi.org/10.1109/TPAMI.2024.3417451 (2022), https://doi.org/10.1145/3394171.3413736 (2020) (+3)	https://doi.org/10.1007/978-3-030-21348-0_30 (2019)	FB15k-237 is primarily used to evaluate and enhance knowledge graph completion models, focusing on link prediction and reducing redundancy. It supports multi-modal knowledge graph reasoning by integrating visual and textual data with relational triples. The dataset is utilized to train and evaluate models like Query2GMM, CMGNN, and HRGAT, addressing complex relations, entity linking, and bias reduction. It also facilitates comparisons of convergence speeds and performance improvements in knowledge base completion tasks using methods such as relational graph convolutional networks.
Multi-OpenEA	https://doi.org/10.48550/arXiv.2307.16210 (2023), https://doi.org/10.1145/3627673.3679126 (2024), https://www.semanticscholar.org/paper/fd43bd0f6a83b3a9c0debf6f0fa10abdf6ad394a (2024) (+1)	https://doi.org/10.1007/978-3-030-55130-8_12 (2020)	The Multi-OpenEA dataset is used to evaluate and benchmark models in multi-modal knowledge graph reasoning, particularly focusing on vision encoders like CLIP. It assesses model stability and performance in cross-lingual and cross-modal entity alignment, with a vision feature dimension of 512. The dataset's large scale and high ratio of image-equipped entities make it suitable for these tasks, providing a robust benchmark for multi-modal entity alignment.
MathVista	https://doi.org/10.48550/arXiv.2405.16473 (2024)	https://doi.org/10.48550/arXiv.2306.13394 (2023)	The MathVista dataset is used to test mathematical problem-solving skills, particularly in multimodal settings. It integrates visual and textual data to comprehensively evaluate and assess the capabilities of models in solving complex mathematical problems. The dataset emphasizes the combination of text and images, enabling researchers to focus on multi-modal reasoning and the effective integration of diverse information types.
VCR	https://doi.org/10.48550/arXiv.2405.16473 (2024), https://doi.org/10.48550/arXiv.2305.04530 (2023), https://doi.org/10.1109/TMM.2023.3279691 (2024)	https://doi.org/10.18653/v1/P19-1472 (2019)	The VCR dataset is primarily used to assess and evaluate visual commonsense reasoning, focusing on the ability to understand and explain visual scenes through complex interactions between images and text. It is employed to fine-tune models like BERT for cross-modal alignment, enhancing their capability to integrate visual-linguistic data and reason about relationships within images. This dataset enables researchers to test and improve models' performance in understanding and explaining complex visual scenes.
