Name (extracted)	Citing Article	Citied Article	Features
USPTO-2M	https://www.semanticscholar.org/paper/949f92adedc4c90d4f5f368f6ebb8c6aebcfe2d2, https://doi.org/10.1007/s11192-021-04179-4	https://doi.org/10.3390/e20020104	The USPTO-2M dataset is primarily used for patent classification in natural language processing (NLP) research. It is employed to train and evaluate various deep learning models, including BERT, XLNet, RoBERTa, and DeepPatent, focusing on multi-label classification and improving language understanding in the patent domain. The dataset facilitates large-scale benchmarking and enhances subclass-level accuracy through supervised learning. Research using this dataset often evaluates the impact of different patent sections and word counts on classification performance, providing a robust benchmark for model performance in the patent classification task.
CLEF-IP	https://doi.org/10.1109/TEM.2022.3152216, https://doi.org/10.1007/s11192-021-04179-4, https://doi.org/10.1109/BigComp51126.2021.00037 (+2)	https://www.semanticscholar.org/paper/23ed0f8595a04d76efc2f71b3c72c30bc56c4fe4	The CLEF-IP dataset is primarily used for patent retrieval and classification tasks, involving large-scale patent documents from the European Patent Office and World Intellectual Property Organization. It supports research in semantic similarity, classification, and retrieval systems, often employing CNN models, word2vec embeddings, and various semantic and statistical approaches. The dataset facilitates the evaluation and improvement of patent classification models, particularly in handling short texts like titles and abstracts, and supports multi-language classification in English and German.
USPTO	https://www.semanticscholar.org/paper/949f92adedc4c90d4f5f368f6ebb8c6aebcfe2d2	https://doi.org/10.1016/j.techfore.2020.120146	The USPTO dataset is utilized for training and evaluating machine learning models in patent classification. It provides a large corpus of labeled patent documents, enabling supervised learning approaches. Researchers use this dataset to assess model performance metrics such as accuracy, kappa, and MAE, often employing techniques like ANN, MLP, and BiLSTM-ATT-CRF. The dataset includes maintenance periods and indices, which are crucial for model training and evaluation.
PatentNet	https://doi.org/10.1145/3578741.3578746	https://doi.org/10.1007/s11192-021-04179-4	PatentNet is used for multi-label classification of patent documents, specifically focusing on IPC classification using deep learning models. The dataset includes titles and abstracts from USPTO patents (2006-2014) and supports training and evaluation of models like RoBERTa for language understanding and classification tasks. It enables researchers to develop and test algorithms for accurate IPC classification, enhancing the organization and retrieval of patent information.
WIPO-alpha	https://doi.org/10.1108/DTA-01-2019-0002, https://doi.org/10.1109/ICDIM.2018.8846972, https://doi.org/10.2478/jdis-2022-0015	https://doi.org/10.1007/11875581_124	The WIPO-alpha dataset is used to evaluate the performance of classifiers in patent categorization, specifically focusing on improving micro-F1 scores through ensemble methods and optimizing neural networks for higher accuracy. This dataset enables researchers to benchmark and refine machine learning models for more effective patent classification.
CLEF-IP 2011	https://doi.org/10.1007/s11192-021-04179-4, https://doi.org/10.1108/DTA-01-2019-0002	https://www.semanticscholar.org/paper/23ed0f8595a04d76efc2f71b3c72c30bc56c4fe4	The CLEF-IP 2011 dataset is used for patent classification and information retrieval in the intellectual property domain. It supports research by providing subsets for training and evaluation, enabling the development and testing of methodologies focused on intellectual property retrieval tasks. This dataset facilitates the improvement of classification accuracy and retrieval effectiveness in patent-related research.
USPTO 2.8M	https://doi.org/10.1145/3578741.3578746	https://www.semanticscholar.org/paper/dca404a59d66f196f55789e28033eaec85da6a91	The USPTO 2.8M dataset is primarily used for training and evaluating patent classification models, focusing on sub-class labels. It contains 2.8 million patents and is utilized to outperform state-of-the-art benchmarks. Researchers employ BERT-based models, such as BERT-for-Patents and fine-tuned BERT, often using subsets of 2M samples for comparisons. This dataset enables robust evaluation and advancement in patent classification through large-scale data.
Patentsview	https://www.semanticscholar.org/paper/949f92adedc4c90d4f5f368f6ebb8c6aebcfe2d2	https://doi.org/10.1016/j.techfore.2020.120146	The Patentsview dataset is used to extract patent data, particularly abstracts and claims, for training and evaluating deep learning models. It supports research in classifying patents and analyzing investor reactions and citations. Predefined CNN and Bi-LSTM models are employed to process the textual data, enabling detailed analysis and classification tasks.
USPTO-3M	https://www.semanticscholar.org/paper/949f92adedc4c90d4f5f368f6ebb8c6aebcfe2d2	https://doi.org/10.18653/v1/N19-1423	The USPTO-3M dataset is used to enhance patent classification research by providing a larger, more comprehensive set of training data at the subclass level. This dataset supports the development and evaluation of natural language processing models, enabling researchers to improve the accuracy and scope of patent classification systems.
CLEF-IP 2010	https://doi.org/10.1108/DTA-01-2019-0002, https://doi.org/10.1109/ICDIM.2018.8846972	https://www.semanticscholar.org/paper/8e7a318e03a08049196ca13f3c785f7a455f31c7	The CLEF-IP 2010 dataset is used for prior art retrieval tasks, specifically for re-ranking patents by leveraging various sections within patent documents to enhance retrieval accuracy. It is also utilized to evaluate the performance of patent classification models, focusing on metrics such as micro-f1 and precision, often using a subset of the data. This dataset enables researchers to refine and assess methods for improving the efficiency and accuracy of patent-related information retrieval and classification.
