Name (extracted)	Citing Article	Citied Article	Features
GSM8K	https://doi.org/10.48550/arXiv.2310.13227 (2023), https://doi.org/10.48550/arXiv.2307.12856 (2023), https://doi.org/10.48550/arXiv.2302.06706 (2023), https://doi.org/10.48550/arXiv.2502.14565 (2025), https://doi.org/10.48550/arXiv.2301.13379 (2023), https://doi.org/10.48550/arXiv.2305.04091 (2023), https://doi.org/10.48550/arXiv.2304.11657 (2023), https://doi.org/10.48550/arXiv.2411.15382 (2024), https://doi.org/10.48550/arXiv.2310.01798 (2023), https://www.semanticscholar.org/paper/6c9c0338f1526437b7cd3b9ccec1fff7feafb14c (2024), https://doi.org/10.48550/arXiv.2406.14283 (2024), https://doi.org/10.48550/arXiv.2302.00618 (2023), https://doi.org/10.48550/arXiv.2410.20749 (2024), https://doi.org/10.48550/arXiv.2308.00436 (2023), https://doi.org/10.48550/arXiv.2309.10691 (2023), https://www.semanticscholar.org/paper/6c943670dca38bfc7c8b477ae7c2d1fba1ad3691 (2022)	https://www.semanticscholar.org/paper/d6045d2ccc9c09ca1671348de86d07da6bc28eea (2021)	The GSM8K dataset is primarily used to train and evaluate large language models (LLMs) on solving and explaining algebraic word problems, emphasizing multi-step reasoning, logical deduction, and the generation of natural language rationales. It is employed to assess the models' accuracy, robustness, and generalization across diverse arithmetic problems, including fractions, decimals, and complex operations. The dataset also supports few-shot learning experiments, evaluates commonsense reasoning, and tests strategic thinking and symbolic reasoning tasks. Additionally, it is used to train process reward models that provide intermediate signals for reasoning steps, enhancing the models' planning capabilities.
HotpotQA	https://doi.org/10.48550/arXiv.2402.15506 (2024), https://doi.org/10.48550/arXiv.2502.06589 (2025), https://doi.org/10.48550/arXiv.2309.10691 (2023), https://doi.org/10.48550/arXiv.2311.05657 (2023), https://doi.org/10.48550/arXiv.2503.05592 (2025), https://doi.org/10.48550/arXiv.2310.04406 (2023), https://doi.org/10.48550/arXiv.2310.01798 (2023), https://doi.org/10.48550/arXiv.2312.10003 (2023), https://doi.org/10.48550/arXiv.2310.05915 (2023), https://www.semanticscholar.org/paper/99832586d55f540f603637e458a292406a0ed75d (2022), https://doi.org/10.1145/3704435 (2023)	https://doi.org/10.18653/v1/D18-1259 (2018)	The HotpotQA dataset is primarily used to evaluate multi-hop question answering capabilities, focusing on diverse and explainable reasoning processes. It is employed to assess models' ability to integrate information from multiple documents, solve complex mathematical problems, and perform logical reasoning tasks. The dataset supports research on planning capabilities of LLMs, particularly in complex agent environments and instruction-following tasks. It emphasizes fair comparisons and the challenges of random test example selection.
MATH	https://doi.org/10.48550/arXiv.2405.19425 (2024), https://doi.org/10.48550/arXiv.2504.16129 (2025), https://doi.org/10.48550/arXiv.2502.14565 (2025), https://doi.org/10.48550/arXiv.2309.10691 (2023), https://www.semanticscholar.org/paper/9ea0757c750ab1222a7442d3485a74d1c526b04c (2023), https://doi.org/10.48550/arXiv.2308.00436 (2023), https://www.semanticscholar.org/paper/f32bcc2155997110a7905da050df4c8404867b24 (2024)	https://www.semanticscholar.org/paper/57d1e7ac339e783898f2c3b1af55737cbeee9fc5 (2021)	The MATH dataset is extensively used to evaluate and enhance the mathematical reasoning and problem-solving capabilities of large language models (LLMs). It focuses on multi-step reasoning, theorem proving, and logical challenges, covering a wide range of math topics from grade school to college level. The dataset is utilized to benchmark performance, assess accuracy, and measure improvements in solving complex mathematical problems, including multi-hop question answering and evidence combination. It also tests the robustness and scalability of models, highlighting both strengths and limitations in handling diverse and challenging tasks.
Common Crawl	https://doi.org/10.48550/arXiv.2206.08853 (2022), https://doi.org/10.48550/arXiv.2307.12856 (2023)	https://doi.org/10.18653/v1/2022.findings-naacl.55 (2021)	The Common Crawl dataset is primarily used for pre-training large language models, providing a vast and diverse collection of web-scraped text data. It is utilized to improve long-span denoising objectives, enhancing the models' efficiency in handling long sequences. Additionally, it is applied for training multimodal models, focusing on the understanding of instructional videos and their corresponding transcripts. This dataset enables researchers to evaluate and enhance the task planning capabilities of models like HTML-T5, comparing their performance against other models on offline task planning tasks.
ALFRED	https://doi.org/10.24963/ijcai.2024/15 (2024), https://doi.org/10.1109/ICCV51070.2023.00280 (2022), https://doi.org/10.48550/arXiv.2410.05669 (2024), https://doi.org/10.1609/aaai.v37i11.26549 (2022), https://doi.org/10.48550/arXiv.2310.10021 (2023)	https://doi.org/10.1007/978-3-030-24337-1_3 (2018)	The ALFRED dataset is primarily used to develop and evaluate AI agents capable of understanding and executing grounded instructions in embodied environments, focusing on vision-language tasks. It supports the creation of agents that can interact in complex scenarios using both text and visuals. The dataset is also used to evaluate hierarchical planning models, generate questions based on PDDL tasks, and study planning capabilities in multi-turn interactions and simulated 3D environments. It provides goals and plans for the Alfworld and AI2THOR environments, enabling researchers to assess the planning and performance of LLMs and other AI models in various tasks.
MMLU	https://doi.org/10.48550/arXiv.2501.12948 (2025), https://doi.org/10.48550/arXiv.2502.06589 (2025)	https://doi.org/10.18653/v1/2023.emnlp-main.187 (2023)	The MMLU dataset is primarily used to evaluate the performance of large language models (LLMs) across a wide range of tasks, including advanced language understanding, multitask language understanding, interactive and feedback-based tasks, frame-based reasoning, software engineering benchmarks, and live coding. It is also used to assess planning capabilities, particularly in task-oriented dialogues and complex environments. The dataset supports scaling law experiments by providing a benchmark for evaluating model performance and generalization. Pre-training on MMLU enhances core agentic capabilities and improves model performance on diverse and complex tasks.
WebShop	https://doi.org/10.48550/arXiv.2403.02502 (2024), https://doi.org/10.48550/arXiv.2402.15506 (2024), https://www.semanticscholar.org/paper/99832586d55f540f603637e458a292406a0ed75d (2022), https://doi.org/10.48550/arXiv.2310.12823 (2023), https://doi.org/10.48550/arXiv.2311.05657 (2023)	https://www.semanticscholar.org/paper/398a0625e8707a0b41ac58eaec51e8feb87dd7cb (2020)	The WebShop dataset is primarily used to evaluate and train models in various interactive and embodied environments, focusing on tasks such as web navigation, question answering, and embodied household activities. It assesses models' planning capabilities, logical reasoning, and ability to follow instructions in both web and virtual home settings. The dataset supports out-of-distribution testing, multi-hop reasoning, and fact verification, often comparing different models and strategies like ReAct and Act. It is also used to train agents for tasks requiring structured knowledge and to align text with actions in virtual worlds.
CLUTRR	https://doi.org/10.48550/arXiv.2307.07696 (2023), https://doi.org/10.48550/arXiv.2301.13379 (2023)	https://doi.org/10.18653/v1/D19-1458 (2019)	The CLUTRR dataset is used to evaluate the inductive and systematic reasoning capabilities of models in natural language understanding, focusing on robustness and generalization. It assesses models' ability to handle logical rules, unseen combinations, and noisy descriptions, particularly in relational reasoning tasks. The dataset supports research on various models, including ASP, MAC, BiLSTM-attention, and GSM, across clean, supporting, irrelevant, and disconnected data instances.
iGibson	https://doi.org/10.48550/arXiv.2205.10712 (2022), https://doi.org/10.1109/LRA.2024.3441495 (2024)	https://doi.org/10.1109/ICAR.2015.7251504 (2015)	The iGibson dataset is used to create and evaluate datasets for object rearrangement preferences in 3D scenes, focusing on diverse object categories and detailed room annotations. It provides 3D environments for object placement and curation, enabling the development and testing of LLM-based approaches in both training and unseen apartment scenes.
R2R	https://doi.org/10.48550/arXiv.2305.16986 (2023), https://doi.org/10.1109/ICCV51070.2023.00280 (2022)	https://doi.org/10.1109/CVPR.2018.00387 (2017)	The R2R dataset is used to train and evaluate vision-and-language navigation models, focusing on generating action sequences for navigation tasks in visually-grounded environments. It supports cross-modality matching, such as identifying landmarks from observations, and is particularly effective for end-to-end performance evaluation with Transformer models. This dataset enables researchers to assess model capabilities in interpreting and executing visually-grounded instructions in real-world settings.
