Name (extracted)	Citing Article	Citied Article	Features
DIVA-HisDB	https://doi.org/10.1109/ICDAR.2019.00066 (2019), https://doi.org/10.1145/3352631.3352648 (2019), https://doi.org/10.1007/978-3-030-68787-8_9 (2021) (+1)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The DIVA-HisDB dataset is used for text line segmentation in historical document image processing, particularly focusing on challenging medieval manuscripts. It provides precisely annotated high-resolution images with diverse layouts, including polygonal and sub-word bounding box annotations. The dataset is utilized for training, testing, and evaluating text line segmentation algorithms, emphasizing precision, recall, and the complexity of historical document layouts. It serves as ground truth for layout analysis and method effectiveness assessments in medieval manuscripts.
Balsac	https://doi.org/10.1007/s10032-022-00395-7 (2022), https://doi.org/10.1145/3476887.3476905 (2021)	https://doi.org/10.51964/HLCS9299 (2020)	The Balsac dataset is used to evaluate and improve text line segmentation in historical documents, focusing on pixel-level performance and the impact of normalized ground-truth data on IoU scores. It is also used to annotate images with polygons, including line ascenders and descenders, and to assess the quality of these annotations for historical text recognition (HTR) systems. The dataset helps evaluate the spacing of text line polygons and trains handwritten document recognition systems, particularly for population records.
ICDAR 2009: Handwriting Segmentation Contest	https://doi.org/10.34768/amcs-2020-0043 (2020)		The ICDAR 2009: Handwriting Segmentation Contest dataset is used to evaluate the accuracy and robustness of text line segmentation algorithms in historical document processing. Researchers focus on segmenting handwritten lines, assessing algorithm performance through precision and reliability metrics. This dataset enables the development and refinement of techniques for handling the complexities of historical handwriting, enhancing the automated processing of archival materials.
READ	https://doi.org/10.1109/ICDAR.2019.00066 (2019)	https://doi.org/10.1109/ICFHR-2018.2018.00089 (2018)	The READ dataset is primarily used for automated text recognition in historical documents, particularly in the context of the ICFHR2018 competition. It focuses on developing and evaluating robust text recognition algorithms, including text line segmentation. This dataset enables researchers to test and improve the accuracy of automated text recognition systems, addressing challenges specific to historical documents.
cBAD dataset	https://doi.org/10.3390/app10228276 (2020), https://doi.org/10.1007/s10032-022-00395-7 (2022), https://doi.org/10.1109/ICDARW.2019.50110 (2019) (+1)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The cBAD dataset is used for evaluating and assessing baseline detection algorithms and models in historical document images, focusing on text line segmentation. It contains 3021 annotated images from seven European archives and is utilized to test the accuracy and performance of methods such as U-Nets and RU-Net, enabling researchers to compare and refine their approaches in this specific domain.
IAM-HistDB	https://doi.org/10.1109/DAS.2018.38 (2017)	https://doi.org/10.1145/2037342.2037348 (2011)	The IAM-HistDB dataset is used to evaluate text line segmentation methods in historical documents, specifically covering a range of documents such as the Saint Gall, Parzival, and Washington databases, as well as Latin manuscripts with varying difficulties. This dataset enables researchers to assess the performance and robustness of segmentation algorithms across diverse historical texts.
Saint Gall Database	https://doi.org/10.1109/DAS.2018.38 (2017)	https://doi.org/10.1145/2037342.2037348 (2011)	The Saint Gall Database, as part of IAM-HistDB, is used to assess text line segmentation techniques in medieval manuscripts, particularly focusing on script and layout variations. It evaluates the accuracy of these techniques in medieval Latin manuscripts, enabling researchers to refine and compare different segmentation methods.
WAHAD Database	https://doi.org/10.1109/ICDAR.2019.00194 (2019)	https://doi.org/10.1109/ICFHR.2010.120 (2010)	The WAHAD Database is utilized to test text line segmentation algorithms on a diverse set of handwritten historical documents. It highlights the algorithm's ability to handle variability in writing styles and assesses robustness in segmenting challenging, difficult-to-read texts. This dataset enables researchers to evaluate and improve the performance of segmentation techniques in historical document analysis.
ICDAR 2019 HDRC-Chinese dataset	https://doi.org/10.1109/ICDAR.2019.00194 (2019)	https://doi.org/10.1109/ICFHR.2010.120 (2010)	The ICDAR 2019 HDRC-Chinese dataset is used to evaluate text line segmentation algorithms on Chinese historical documents, particularly focusing on complex layouts and handwriting styles. It assesses the performance of algorithms in handling intricate scripts and layouts, enabling researchers to improve the accuracy of text line segmentation in challenging historical documents.
ICDAR 2013 Handwriting Segmentation Contest dataset	https://doi.org/10.1109/ICDAR.2019.00194 (2019)	https://doi.org/10.1109/ICFHR.2010.120 (2010)	The ICDAR 2013 Handwriting Segmentation Contest dataset is used to evaluate algorithms for text line segmentation, particularly in historical documents with diverse handwriting styles. It enables researchers to assess the effectiveness and robustness of their methods in handling varied and complex historical handwriting, ensuring accurate segmentation performance.
