Name (extracted)	Citing Article	Citied Article	Features
DIVA-HisDB	https://doi.org/10.1109/ICPR56361.2022.9956617 (2022), https://doi.org/10.3390/jimaging10030065 (2024)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The DIVA-HisDB dataset is primarily used for evaluating and validating text line segmentation algorithms in challenging medieval manuscripts. It focuses on layout analysis and historical document processing, specifically addressing the variations and complexities of historical document layouts. The dataset is utilized to train models like Mask-RCNN, set hyperparameters, and compare the performance of different methods, enhancing the accuracy of text line segmentation. It contains 150 pages from three different manuscripts (CB55, CSG863, CSG18) digitized at 600 dpi, which are used to assess the effectiveness of various approaches in handling diverse historical document images.
CASIA-HWDB	https://doi.org/10.1109/ICDAR.2019.00088 (2019)	https://doi.org/10.1109/ICDAR.2011.17 (2011)	The CASIA-HWDB dataset is primarily used for evaluating text line segmentation algorithms on Chinese handwriting samples, both offline and online. It serves as a benchmark for assessing precision, recall, and F-measure across various IoU levels. Researchers use it to synthesize more challenging images by narrowing gaps between adjacent text lines, enhancing the robustness of text line segmentation methods.
ChamDoc	https://doi.org/10.1109/ICPR56361.2022.9956617 (2022)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The ChamDoc dataset is primarily used for validating and testing text line segmentation methods in historical documents, particularly focusing on medieval and Cham manuscripts. It is employed to assess detection rates, recognition accuracy, and F-measure, addressing the unique challenges of these scripts and layouts. The dataset helps in setting hyperparameters and improving layout analysis accuracy, making it a valuable resource for specialized algorithm evaluation in historical document analysis.
cBAD2	https://doi.org/10.1109/ICDAR.2019.00066 (2019)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The cBAD2 dataset is primarily used to evaluate and test baseline detection algorithms in historical documents. It focuses on assessing the precision, recall, and overall performance of these algorithms, particularly in the context of text line segmentation. This dataset is utilized in both academic research and competitive settings like the ICDAR competition to benchmark and improve the accuracy of baseline detection methods.
Bozen	https://doi.org/10.1109/ICDAR.2019.00088 (2019)	https://doi.org/10.1109/ICDAR.2011.17 (2011)	The Bozen dataset is utilized for testing and evaluating text line segmentation techniques on Italian historical documents. It focuses on assessing the accuracy of baseline detection and the performance of LPN and baseline FCN models at various IoU levels. This dataset enables researchers to refine and compare segmentation methods, enhancing the precision of text extraction in historical documents.
BALSAC	https://doi.org/10.1007/s10032-022-00395-7 (2022)	https://doi.org/10.51964/HLCS9299 (2020)	The BALSAC dataset is used for annotating and evaluating text line segmentation in historical documents. It involves creating simple polygon annotations, including line ascenders and descenders, to assess the accuracy of segmentation systems. The dataset is crucial for evaluating the performance of these systems, particularly in handling well-spaced text lines. Studies have also used BALSAC to evaluate the impact of normalized ground-truth on pixel-level performance, noting improvements in Intersection over Union (IoU) scores. However, unification did not enhance results due to thin original annotations, affecting the performance of Handwritten Text Recognition (HTR) systems.
ANT4	https://doi.org/10.1109/ICDAR.2019.00066 (2019)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The ANT4 dataset is used for evaluating text line segmentation algorithms on historical document images. Research focuses on assessing the accuracy and robustness of these methods, with specific attention to performance metrics. This dataset enables researchers to test and compare different segmentation techniques, ensuring they are effective for historical documents.
READ1	https://doi.org/10.1109/ICDAR.2019.00066 (2019)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The READ1 dataset is used to evaluate the performance and accuracy of text line segmentation methods in historical documents. It specifically assesses the detection of baselines and text lines in challenging historical documents, enabling researchers to compare and refine their algorithms for better segmentation outcomes.
DIVA-HisDB3	https://doi.org/10.1109/ICDAR.2019.00066 (2019)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The DIVA-HisDB3 dataset is utilized to evaluate text line segmentation methods on precisely annotated medieval manuscripts. It emphasizes the complexity and variability of historical scripts, focusing on performance and accuracy. This dataset enables researchers to test and refine algorithms for segmenting text lines in historical documents, addressing the challenges posed by diverse and intricate script styles.
C5 Hattem Manuscript	https://doi.org/10.1109/icfhr-2018.2018.00069 (2018)	https://doi.org/10.1145/2595188.2595193 (2014)	The C5 Hattem Manuscript dataset is mentioned in research citations but lacks detailed descriptions of its usage. There is no explicit evidence of its application in text line segmentation or any other specific methodologies, research questions, or characteristics. Its role in enabling research is unclear based on the provided information.
COCO-Text	https://doi.org/10.1109/ICDAR.2019.00088 (2019)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The COCO-Text dataset is used to evaluate the performance of text line segmentation algorithms on diverse text instances in natural images. Researchers apply this dataset to enhance the robustness of their models across various fonts and styles, ensuring better generalization in real-world scenarios. This dataset's extensive variability in text appearance makes it a valuable resource for improving text recognition systems.
HOME-Alcar	https://doi.org/10.3390/jimaging10030065 (2024)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The HOME-Alcar dataset is used for training and testing text line segmentation methods, particularly Mask-RCNN, to enhance the accuracy of recognizing text lines in historical documents. It addresses the challenges in segmenting text lines in historical manuscripts, providing a valuable resource for improving the performance of text line segmentation algorithms.
layout data set	https://doi.org/10.5220/0010330206280634 (2021)		The layout data set is used to train and evaluate machine learning models for document layout analysis, specifically focusing on text line segmentation tasks and the structure and arrangement of elements in historical documents. This dataset enables researchers to construct and publicly release high-quality resources, facilitating advancements in the automated analysis of historical documents.
Kuzushiji-49	https://doi.org/10.5220/0010330206280634 (2021)	https://doi.org/10.1145/3209280.3229117 (2018)	The Kuzushiji-49 dataset is used to extract and segment deformed Kana characters from historical Japanese texts, focusing on font variations. Deep learning techniques are employed to address the challenges of character recognition in these texts. This dataset enables researchers to improve the accuracy of character extraction and segmentation, enhancing the study and accessibility of historical documents.
cBAD dataset	https://doi.org/10.3390/app10228276 (2020), https://doi.org/10.1007/s10032-022-00395-7 (2022)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The cBAD dataset is used for evaluating and improving baseline detection algorithms in historical document images. It consists of 3021 annotated images from seven European archives, enabling researchers to assess text line segmentation accuracy. The dataset's large and diverse image collection supports robust testing and validation of algorithms, enhancing their performance in historical document analysis.
Maurdor	https://doi.org/10.1007/s10032-022-00395-7 (2022), https://doi.org/10.1109/ICDAR.2019.00088 (2019)	https://doi.org/10.1109/ICASSP.2014.6854572 (2014)	The Maurdor dataset is used to evaluate and improve text line segmentation accuracy in scanned historical documents. It focuses on enhancing the performance of box detection and document region segmentation algorithms, particularly in multilingual and mixed-content documents. This dataset enables researchers to test and refine techniques that increase the robustness and precision of text line segmentation, addressing challenges in historical document analysis.
ICDAR2017 Competition on Layout Analysis for Challenging Medieval Manuscripts	https://doi.org/10.1109/ICDAR.2019.00194 (2019)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The ICDAR2017 Competition on Layout Analysis for Challenging Medieval Manuscripts dataset is used to evaluate text line segmentation methods, specifically addressing layout analysis challenges in medieval manuscripts. It provides annotated RGB images for training and testing, focusing on polygonal enclosures of text lines. This dataset enables researchers to assess and improve the accuracy of text line segmentation techniques in complex historical documents.
BAMBI/Italian	https://doi.org/10.1007/s10032-006-0023-z (2007)	https://doi.org/10.1109/ICDAR.2001.953888 (2001)	The BAMBI/Italian dataset is utilized for line segmentation in 16th-century Italian gray-level manuscript images. Researchers employ projection and linear path methods to segment text lines, enabling precise analysis of historical documents. This dataset facilitates the development and evaluation of algorithms for improving the readability and accessibility of historical manuscripts.
Church registers	https://doi.org/10.1007/s10032-006-0023-z (2007)	https://doi.org/10.1109/ICDAR.2001.953888 (2001)	The 'Church registers' dataset is used for line detection and segmentation in 18th and 19th-century church records. Researchers apply methodologies such as grouping baselines and analyzing cursive minima fluctuating points to enhance text line segmentation. This enables more accurate transcription and analysis of historical documents, facilitating research into genealogy, demographics, and social history.
Church Registers images	https://doi.org/10.1007/s10032-006-0023-z (2007)	https://doi.org/10.1109/ICDAR.2001.953888 (2001)	The 'Church Registers images' dataset is used for line detection and segmentation in historical church registers, specifically focusing on body baselines to enhance the accuracy of text line segmentation. This methodology improves the readability and analysis of historical documents by precisely identifying and separating lines of text.
cBaD 2017 READ-Complex	https://doi.org/10.3390/jimaging10030065 (2024)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The cBaD 2017 READ-Complex dataset is used to evaluate and compare the performance of U-Net and Mask-RCNN models in text line segmentation for complex historical documents. Research focuses on assessing baseline detection accuracy, leveraging the dataset's challenging characteristics to enhance model robustness and precision.
Deliberation Registers of the States of Burgundy	https://doi.org/10.3390/jimaging10030065 (2024)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The Deliberation Registers of the States of Burgundy dataset is used to evaluate text line segmentation performance, specifically focusing on enhancing text transcription accuracy in historical documents. This private dataset supports research by providing a benchmark for assessing the effectiveness of text line segmentation techniques in the context of historical registers.
IAM	https://doi.org/10.3390/jimaging10030065 (2024), https://doi.org/10.1080/13682199.2018.1499226 (2018)	https://doi.org/10.1007/s100320200071 (2002)	The IAM dataset is primarily used for training and evaluating models in offline handwriting recognition, particularly for English sentences. It provides a comprehensive set of handwritten text samples, enabling researchers to develop and test methods for segmentation and baseline recognition in handwritten documents. This dataset supports the advancement of algorithms that can accurately process and recognize handwritten content, enhancing the performance of automated document analysis systems.
ICDAR2017	https://doi.org/10.1007/978-3-030-86331-9_34 (2021)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The ICDAR2017 dataset is used to evaluate layout analysis methods and text line segmentation algorithms in challenging medieval manuscripts. It focuses on assessing the accuracy and effectiveness of these techniques in segmenting text lines and analyzing document structure. This dataset enables researchers to improve and validate their methodologies for processing historical documents.
benchmark dataset	https://doi.org/10.1109/ICFHR-2018.2018.00050 (2018)	https://doi.org/10.1109/ICDAR.2007.127 (2007)	The benchmark dataset is used to evaluate the performance of a proposed text line extraction method on 350 handwritten document images. It focuses on assessing the algorithm's effectiveness in text line segmentation, providing a standardized set of images to measure accuracy and efficiency in historical document analysis.
ICDAR 2013 test dataset	https://doi.org/10.1109/ICFHR-2018.2018.00050 (2018)	https://doi.org/10.1109/ICDAR.2007.127 (2007)	The ICDAR 2013 test dataset is used to evaluate the performance of text line segmentation methods in document recognition, focusing on accuracy. Researchers employ specific metrics to compare different approaches, ensuring robust evaluation. This dataset enables the assessment of segmentation techniques, contributing to advancements in document analysis and recognition systems.
