Name (extracted)	Citing Article	Citied Article	Features	Analysis_Source	Homepage_URL
ICDAR 2013 Handwriting Segmentation Contest dataset	https://doi.org/10.1109/ICFHR-2018.2018.00085 (2018), https://doi.org/10.1109/ICDAR.2019.00194 (2019)	https://doi.org/10.1109/ICDAR.2007.127 (2007)	The ICDAR 2013 Handwriting Segmentation Contest dataset is used to evaluate and test the accuracy of line segmentation methods in historical documents. Research focuses on extracting and segmenting text lines, employing methodologies that assess the precision of these techniques. This dataset enables researchers to benchmark and improve algorithms for text line segmentation in historical handwriting.; The ICDAR 2013 Handwriting Segmentation Contest dataset is used to evaluate algorithms for text line segmentation, particularly in historical documents with diverse handwriting styles. It enables researchers to assess the effectiveness and robustness of their methods in handling varied and complex historical handwriting, ensuring accurate segmentation performance.	cited_context | citing_context	
READ Dataset	https://doi.org/10.1109/ICDAR.2019.00066 (2019)	https://doi.org/10.1109/ICFHR-2018.2018.00089 (2018)	The READ dataset is primarily used for automated text recognition in historical documents, particularly in the context of the ICFHR2018 competition. It focuses on developing and evaluating robust text recognition algorithms, including text line segmentation. This dataset enables researchers to test and improve the accuracy of automated text recognition systems, addressing challenges specific to historical documents.; The READ Dataset is used in the ICFHR2018 competition for automated text recognition, specifically focusing on text line segmentation in historical documents. It serves as a benchmark to evaluate OCR systems, enabling researchers to compare the performance of different algorithms and methodologies in accurately segmenting text lines from historical documents.	cited_context | citing_context	
AHDB dataset	https://doi.org/10.1109/ICDARW.2019.50110 (2019)	https://doi.org/10.1109/IWFHR.2002.1030957 (2002)	The AHDB dataset is primarily used for testing and evaluating methods in Arabic handwritten text recognition and word extraction from Arabic handwritten documents. It achieves 86% accuracy in text recognition and focuses on F-measure for word extraction performance. The dataset is specifically designed to support research in these domains, enabling the development and assessment of algorithms tailored to Arabic script.	cited_context	
Al-Majid	https://doi.org/10.1109/ICDARW.2019.50110 (2019)	https://doi.org/10.1109/ICFHR.2014.127 (2014)	The Al-Majid dataset is used to evaluate seam carving techniques for text line extraction on color and grayscale historical manuscripts. Research focuses on assessing the performance of these methods on a specific dataset of historical documents, highlighting the dataset's utility in advancing text line segmentation methodologies.	cited_context	
ANDAR-TL test set	https://doi.org/10.1007/s10032-019-00332-1 (2018)	https://doi.org/10.1109/ICDAR.2015.7333945 (2015)	The ANDAR-TL test set is used to evaluate the performance of text line segmentation algorithms, specifically in the context of historical documents. It serves as a benchmark in the ICDAR 2015 competition on text line detection, enabling researchers to compare and assess the accuracy and effectiveness of their methods in segmenting text lines from historical documents.	cited_context	
ANT dataset	https://doi.org/10.1109/SSD49366.2020.9364163 (2020)	https://doi.org/10.1109/ICDAR.2019.00066 (2019)	The ANT dataset is used to evaluate the accuracy and robustness of text line segmentation methods in historical document images. Researchers employ this dataset to test their algorithms, focusing on how well they can segment lines of text. This enables the assessment of new techniques in historical document analysis, ensuring they meet high standards of performance.	citing_context	
Ant4	https://doi.org/10.1109/ICDAR.2019.00066 (2019)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The ANT4 dataset is used for evaluating text line segmentation algorithms on historical document images. Research focuses on assessing the accuracy and robustness of these methods, with specific attention to performance metrics. This dataset enables researchers to test and compare different segmentation techniques, ensuring they are effective for historical documents.; The ANT4 dataset is used for evaluating the accuracy and robustness of text line segmentation algorithms on historical document images. Researchers employ this dataset to test and compare different segmentation methods, focusing on their performance in handling the complexities of historical documents. This enables advancements in the field of historical document analysis and preservation.	cited_context | citing_context	
Balsac	https://doi.org/10.1007/s10032-022-00395-7 (2022), https://doi.org/10.1145/3476887.3476905 (2021)	https://doi.org/10.51964/HLCS9299 (2020)	The BALSAC dataset is used for annotating and evaluating text line segmentation in historical documents. It involves creating simple polygon annotations, including line ascenders and descenders, to assess the accuracy of segmentation systems. The dataset is crucial for evaluating the performance of these systems, particularly in handling well-spaced text lines. Studies have also used BALSAC to evaluate the impact of normalized ground-truth on pixel-level performance, noting improvements in Intersection over Union (IoU) scores. However, unification did not enhance results due to thin original annotations, affecting the performance of Handwritten Text Recognition (HTR) systems.; The Balsac dataset is used to evaluate and improve text line segmentation in historical documents, focusing on pixel-level performance and the impact of normalized ground-truth data on IoU scores. It is also used to annotate images with polygons, including line ascenders and descenders, and to assess the quality of these annotations for historical text recognition (HTR) systems. The dataset helps evaluate the spacing of text line polygons and trains handwritten document recognition systems, particularly for population records.	cited_context | citing_context	
Balsac Population Database	https://doi.org/10.1007/s10032-022-00395-7 (2022)	https://doi.org/10.51964/HLCS9299 (2020)	The BALSAC Population Database is used to study text line segmentation in historical documents, focusing on 913 images of birth, marriage, and death records from 74 Québécois registers. This dataset enables researchers to develop and test algorithms for accurately segmenting lines in these historical documents, enhancing the digitization and accessibility of archival records.; The BALSAC Population Database is used to study historical document images, particularly 913 images of birth, marriage, and death records from 74 Québécois registers. Researchers focus on text line segmentation, employing methodologies to enhance the readability and accessibility of these historical documents. This dataset enables detailed analysis and processing of historical records, facilitating research into genealogy and historical demographics.	cited_context | citing_context	
BAMBI/Italian	https://doi.org/10.1007/s10032-006-0023-z (2007)	https://doi.org/10.1109/ICDAR.2001.953888 (2001)	The BAMBI/Italian dataset is utilized for line segmentation in 16th-century Italian gray-level manuscript images. Researchers employ projection and linear path methods to segment text lines, enabling precise analysis of historical documents. This dataset facilitates the development and evaluation of algorithms for improving the readability and accessibility of historical manuscripts.	citing_context	
BAMBI/Italian manuscripts	https://doi.org/10.1007/s10032-006-0023-z (2007)	https://doi.org/10.1109/ICDAR.2001.953888 (2001)	The BAMBI/Italian manuscripts dataset is used to segment cursive handwriting lines in 16th-century Italian gray-level manuscript images. This enhances access to historical documents by improving the readability and analysis of cursive text in these manuscripts. The dataset's focus on gray-level images supports advanced image processing techniques, facilitating more accurate text line segmentation.	cited_context	
benchmark dataset	https://doi.org/10.1109/ICFHR-2018.2018.00050 (2018)	https://doi.org/10.1109/ICDAR.2007.127 (2007)	The benchmark dataset is used to evaluate the performance of a proposed text line extraction method on 350 handwritten document images. It focuses on assessing the algorithm's effectiveness in text line segmentation, providing a standardized set of images to measure accuracy and efficiency in historical document analysis.	citing_context	
Bozen	https://doi.org/10.1109/ICDAR.2019.00088 (2019)	https://doi.org/10.1109/ICDAR.2011.17 (2011)	The Bozen dataset is utilized for testing and evaluating text line segmentation techniques on Italian historical documents. It focuses on assessing the accuracy of baseline detection and the performance of LPN and baseline FCN models at various IoU levels. This dataset enables researchers to refine and compare segmentation methods, enhancing the precision of text extraction in historical documents.	citing_context	
C5 Hattem Manuscript	https://doi.org/10.1109/icfhr-2018.2018.00069 (2018)	https://doi.org/10.1145/2595188.2595193 (2014)	The C5 Hattem Manuscript dataset is mentioned in research citations but lacks detailed descriptions of its usage. There is no explicit evidence of its application in text line segmentation or any other specific methodologies, research questions, or characteristics. Its role in enabling research is unclear based on the provided information.	citing_context	
CASIA-HWDB	https://doi.org/10.1109/ICDAR.2019.00088 (2019)	https://doi.org/10.1109/ICDAR.2011.17 (2011)	The CASIA-HWDB dataset is primarily used for evaluating text line segmentation algorithms on Chinese handwriting samples, both offline and online. It serves as a benchmark for assessing precision, recall, and F-measure across various IoU levels. Researchers use it to synthesize more challenging images by narrowing gaps between adjacent text lines, enhancing the robustness of text line segmentation methods.	citing_context	
CB55	https://doi.org/10.1007/978-3-030-86331-9_34 (2021)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The CB55 dataset, part of the ICDAR dataset, is used to evaluate text line segmentation methods in historical documents. It focuses on assessing the layout and structure of text lines, enabling researchers to refine and compare algorithms designed for this specific task. This dataset supports the development of more accurate and robust text line segmentation techniques in historical document analysis.	citing_context	
cBaD 2017	https://doi.org/10.3390/jimaging10030065 (2024)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The cBaD 2017 dataset is used for training and evaluating deep learning models such as Mask-RCNN and U-Net, specifically for baseline detection in historical documents. This dataset enables researchers to improve the accuracy of text line segmentation, enhancing the readability and accessibility of historical texts through advanced neural network techniques.	citing_context	
cBaD 2017 READ-Complex	https://doi.org/10.3390/jimaging10030065 (2024)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The cBaD 2017 READ-Complex dataset is used to evaluate and compare the performance of U-Net and Mask-RCNN models in text line segmentation for complex historical documents. Research focuses on assessing baseline detection accuracy, leveraging the dataset's challenging characteristics to enhance model robustness and precision.	citing_context	
Cbad Dataset	https://doi.org/10.3390/app10228276 (2020), https://doi.org/10.1007/s10032-022-00395-7 (2022), https://doi.org/10.1109/ICDARW.2019.50110 (2019) (+1)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The cBAD dataset is used for evaluating and improving baseline detection algorithms in historical document images. It consists of 3021 annotated images from seven European archives, enabling researchers to assess text line segmentation accuracy. The dataset's large and diverse image collection supports robust testing and validation of algorithms, enhancing their performance in historical document analysis.; The cBAD dataset is used for evaluating and assessing baseline detection algorithms and models in historical document images, focusing on text line segmentation. It contains 3021 annotated images from seven European archives and is utilized to test the accuracy and performance of methods such as U-Nets and RU-Net, enabling researchers to compare and refine their approaches in this specific domain.	cited_context | citing_context	
Cbad2	https://doi.org/10.1109/ICDAR.2019.00066 (2019)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The cBAD2 dataset is primarily used to evaluate and test baseline detection algorithms in historical documents. It focuses on assessing the precision, recall, and overall performance of these algorithms, particularly in the context of text line segmentation. This dataset is utilized in both academic research and competitive settings like the ICDAR competition to benchmark and improve the accuracy of baseline detection methods.; The cBAD2 dataset is used for evaluating text line segmentation algorithms, particularly focusing on baseline detection in historical documents. It assesses the robustness of these methods across various writing styles and conditions, serving as a benchmark in the ICDAR competition. This dataset enables researchers to test and compare the performance of different algorithms in challenging historical document scenarios.	cited_context | citing_context	
cBAD2019	https://doi.org/10.1007/s10032-022-00395-7 (2022)	https://doi.org/10.1109/ICFHR2020.2020.00025 (2020)	The cBAD2019 dataset is used for evaluating text line segmentation algorithms on historical documents, particularly focusing on complex layouts and degraded images. This dataset enables researchers to test and improve the accuracy of segmentation techniques in challenging conditions, enhancing the readability and accessibility of historical texts.	cited_context	
ChamDoc	https://doi.org/10.1109/ICPR56361.2022.9956617 (2022)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The ChamDoc dataset is primarily used for validating and testing text line segmentation methods in historical documents, particularly focusing on medieval and Cham manuscripts. It is employed to assess detection rates, recognition accuracy, and F-measure, addressing the unique challenges of these scripts and layouts. The dataset helps in setting hyperparameters and improving layout analysis accuracy, making it a valuable resource for specialized algorithm evaluation in historical document analysis.	citing_context	
Church Registers	https://doi.org/10.1007/s10032-006-0023-z (2007)	https://doi.org/10.1109/ICDAR.2001.953888 (2001)	The 'Church registers' dataset is used for line detection and segmentation in 18th and 19th-century church records. Researchers apply methodologies such as grouping baselines and analyzing cursive minima fluctuating points to enhance text line segmentation. This enables more accurate transcription and analysis of historical documents, facilitating research into genealogy, demographics, and social history.; The 'Church registers' dataset is used for line detection and segmentation in historical documents, particularly focusing on 18th and 19th-century church records. Researchers employ a grouping baselines method to accurately segment text lines, enabling precise analysis and transcription of these historical documents. This methodology facilitates the study of historical demographic data and genealogical information by improving the readability and accessibility of church records.	cited_context | citing_context	
Church Registers Images	https://doi.org/10.1007/s10032-006-0023-z (2007)	https://doi.org/10.1109/ICDAR.2001.953888 (2001)	The 'Church Registers images' dataset is used for line detection and segmentation in historical church registers, specifically focusing on body baselines to enhance the accuracy of text line segmentation. This methodology improves the readability and analysis of historical documents by precisely identifying and separating lines of text.; The 'Church Registers images' dataset is used for line detection and segmentation in historical church registers, focusing on body baselines. Researchers employ image processing techniques to analyze these historical documents, enabling precise text line segmentation. This methodology supports the accurate extraction and analysis of textual content from historical records.	cited_context | citing_context	
COCO-Text	https://doi.org/10.1109/ICDAR.2019.00088 (2019)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The COCO-Text dataset is used to evaluate the performance of text line segmentation algorithms on diverse text instances in natural images. Researchers apply this dataset to enhance the robustness of their models across various fonts and styles, ensuring better generalization in real-world scenarios. This dataset's extensive variability in text appearance makes it a valuable resource for improving text recognition systems.	citing_context	
CREMMA Medieval	https://doi.org/10.46298/jdmdh.9806 (2022)		The CREMMA Medieval dataset is used to evaluate text line segmentation algorithms on medieval documents. Research focuses on assessing the accuracy and robustness of these methods in handling historical scripts, ensuring they can effectively process and segment text lines in challenging historical documents.	cited_context	
CSG18	https://doi.org/10.1007/978-3-030-86331-9_34 (2021)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The CSG18 dataset, part of the ICDAR2017 collection, is used to evaluate text line segmentation in medieval manuscripts. It emphasizes the complexity of layout structures, enabling researchers to assess and improve algorithms designed to handle intricate historical document layouts. This dataset facilitates the development and testing of segmentation techniques tailored to the unique challenges of medieval texts.	citing_context	
CSG863	https://doi.org/10.1007/978-3-030-86331-9_34 (2021)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The CSG863 dataset, part of the ICDAR2017 collection, is used to test text line segmentation algorithms in historical documents. It focuses on addressing layout challenges, enabling researchers to evaluate and improve the accuracy of text line segmentation techniques in complex historical layouts.	citing_context	
Database Of Unconstrained Handwritten Polish Documents	https://doi.org/10.1515/amcs-2017-0014 (2017)	https://www.semanticscholar.org/paper/a2d23f8386f45848a62bde3e010a712be3e29a84		cited_context | citing_context	
Deliberation Registers of the States of Burgundy	https://doi.org/10.3390/jimaging10030065 (2024)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The Deliberation Registers of the States of Burgundy dataset is used to evaluate text line segmentation performance, specifically focusing on enhancing text transcription accuracy in historical documents. This private dataset supports research by providing a benchmark for assessing the effectiveness of text line segmentation techniques in the context of historical registers.	citing_context	
DIVA	https://doi.org/10.1109/ICDAR.2019.00066 (2019)	https://doi.org/10.1109/ICFHR.2016.0093 (2016)	The DIVA dataset is not used for text line segmentation in historical documents. There are no specific usage descriptions available that detail its application, methodology, or research questions in any field. The dataset's relevance and usage in research are unclear based on the provided information.	cited_context	
DIVA pixel labels	https://doi.org/10.1007/978-3-030-68787-8_9 (2021)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The DIVA pixel labels dataset is used to provide ground truth in pixel label format for layout analysis in challenging medieval manuscripts. It supports text line segmentation tasks by offering precise annotations, enabling researchers to develop and evaluate algorithms for accurate text extraction and layout understanding in historical documents.	cited_context	
Diva-HisBD	https://doi.org/10.1109/ICPR56361.2022.9956617 (2022)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The Diva-HisBD dataset is used to evaluate metrics for text line segmentation in historical documents, particularly focusing on layout analysis for challenging medieval manuscripts. Researchers employ this dataset to assess the accuracy and effectiveness of segmentation algorithms, addressing the complexities of medieval layouts. This dataset enables rigorous testing and comparison of different segmentation methods, enhancing the precision of text line extraction in historical document analysis.	citing_context	
Diva-Hisdb	https://doi.org/10.1109/ICPR56361.2022.9956617 (2022), https://doi.org/10.3390/jimaging10030065 (2024), https://doi.org/10.1109/ICDAR.2019.00066 (2019) (+2)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The DIVA-HisDB dataset is primarily used for evaluating and validating text line segmentation algorithms in challenging medieval manuscripts. It focuses on layout analysis and historical document processing, specifically addressing the variations and complexities of historical document layouts. The dataset is utilized to train models like Mask-RCNN, set hyperparameters, and compare the performance of different methods, enhancing the accuracy of text line segmentation. It contains 150 pages from three different manuscripts (CB55, CSG863, CSG18) digitized at 600 dpi, which are used to assess the effectiveness of various approaches in handling diverse historical document images.; The DIVA-HisDB dataset is used for text line segmentation in historical document image processing, particularly focusing on challenging medieval manuscripts. It provides precisely annotated high-resolution images with diverse layouts, including polygonal and sub-word bounding box annotations. The dataset is utilized for training, testing, and evaluating text line segmentation algorithms, emphasizing precision, recall, and the complexity of historical document layouts. It serves as ground truth for layout analysis and method effectiveness assessments in medieval manuscripts.	cited_context | citing_context	
DIVA-HisDB3	https://doi.org/10.1109/ICDAR.2019.00066 (2019)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The DIVA-HisDB3 dataset is utilized to evaluate text line segmentation methods on precisely annotated medieval manuscripts. It emphasizes the complexity and variability of historical scripts, focusing on performance and accuracy. This dataset enables researchers to test and refine algorithms for segmenting text lines in historical documents, addressing the challenges posed by diverse and intricate script styles.	citing_context	
George Washington dataset	https://doi.org/10.1109/ICDAR.2019.00194 (2019)	https://doi.org/10.1109/ICFHR.2010.120 (2010)	The George Washington dataset is used to evaluate and validate text line segmentation algorithms on historical documents from the George Washington era. Research focuses on assessing the legibility and historical context of early American documents, emphasizing the accuracy and performance of segmentation techniques. This dataset enables researchers to test and refine algorithms specifically tailored for historical texts, ensuring they can effectively handle the unique characteristics of these documents.	cited_context	
H-DIVaR	https://doi.org/10.1109/ICDAR.2019.00066 (2019)	https://doi.org/10.1109/ICFHR-2018.2018.00089 (2018)	The H-DIVaR dataset is utilized for baseline detection in historical document images, particularly for the ICDAR2017 competition. It focuses on accurate baseline extraction, enabling researchers to improve the precision of text line segmentation in historical documents. This dataset supports methodologies aimed at enhancing the recognition and processing of historical texts by providing a benchmark for evaluating baseline detection algorithms.	cited_context	
Himanis-GMV dataset	https://doi.org/10.1145/3476887.3476905 (2021)	https://doi.org/10.1109/ICDAR.2017.307 (2017)	The Himanis-GMV dataset is used to study text line segmentation in historical documents, focusing on 1,435 pages from the dataset. It is aligned at the line level using Transkribus, enabling researchers to analyze and improve text line segmentation techniques specifically for historical documents. This dataset facilitates the development and evaluation of algorithms for enhancing the accuracy of text line segmentation in challenging historical materials.	cited_context	
HimanisAct	https://doi.org/10.1145/3476887.3476905 (2021)	https://doi.org/10.1109/ICDAR.2017.59 (2017)	The HimanisAct dataset is used to train handwritten document recognition systems and to conduct text content-based layout analysis, particularly focusing on act-level annotations in historical documents. Comprising 739 pages from medieval manuscript collections, the dataset enables researchers to improve the accuracy of text recognition and analyze the structural layout of historical texts.	cited_context	
historical archives of the University of Athens	https://www.semanticscholar.org/paper/b34f0a67491539b0eb73436367712255ca3fa1b4 (2008)	https://www.semanticscholar.org/paper/b29494e7b48ff93178ae9020620da0d6dce24f93 (2006)	The historical archives of the University of Athens are used to test the Block-Based Hough Transform approach for text line detection in unconstrained handwritten Greek documents. This methodology focuses on enhancing the accuracy of text line detection in historical documents, addressing specific challenges related to the variability and complexity of historical handwriting. The dataset's relevance lies in its provision of authentic historical documents, enabling researchers to evaluate and refine text line segmentation techniques effectively.	cited_context	
HOME-Alcar	https://doi.org/10.3390/jimaging10030065 (2024)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The HOME-Alcar dataset is used for training and testing text line segmentation methods, particularly Mask-RCNN, to enhance the accuracy of recognizing text lines in historical documents. It addresses the challenges in segmenting text lines in historical manuscripts, providing a valuable resource for improving the performance of text line segmentation algorithms.	citing_context	
HOME-NACR	https://doi.org/10.1007/s10032-022-00395-7 (2022)	https://doi.org/10.1109/ICFHR2020.2020.00025 (2020)	The HOME-NACR dataset is used to evaluate text line segmentation performance on historical documents, especially those with ornate and varied layouts. Researchers apply this dataset to assess the accuracy and robustness of segmentation algorithms in handling complex historical texts, ensuring they can effectively process and analyze documents with intricate design elements.	cited_context	
Horae	https://doi.org/10.1007/s10032-022-00395-7 (2022)	https://doi.org/10.1109/ICFHR2020.2020.00025 (2020)	The Horae dataset is used to evaluate text line segmentation methods on historical religious texts, particularly focusing on intricate layouts and high-resolution images. This dataset enables researchers to assess the accuracy and robustness of segmentation algorithms in handling complex and degraded historical documents.	cited_context	
HTR-DocR	https://doi.org/10.1109/ICDAR.2019.00088 (2019)	https://doi.org/10.1109/DAS.2014.58 (2014)	The HTR-DocR dataset is used to evaluate the accuracy of document region segmentation algorithms, particularly in the context of historical documents. Researchers employ this dataset to assess how well these algorithms can segment different regions within documents, which is crucial for improving the precision of historical document analysis. The dataset's focus on historical documents makes it valuable for enhancing the reliability of segmentation techniques in this specific domain.	citing_context	
IAM	https://doi.org/10.3390/jimaging10030065 (2024), https://doi.org/10.1080/13682199.2018.1499226 (2018)	https://doi.org/10.1007/s100320200071 (2002)	The IAM dataset is primarily used for training and evaluating models in offline handwriting recognition, particularly for English sentences. It provides a comprehensive set of handwritten text samples, enabling researchers to develop and test methods for segmentation and baseline recognition in handwritten documents. This dataset supports the advancement of algorithms that can accurately process and recognize handwritten content, enhancing the performance of automated document analysis systems.	citing_context	
