rank	corpus_id	title	confidence	is_relevant	reasoning
1	268710840	The role of phonology in non-native word learning: Evidence from cross-situational statistical learning	1.000	True	{'Condition Object': 'non-native word learning', 'Required Elements': {'phonology': 'the role of phonology in non-native word learning', 'cross-situational statistical learning': 'via a cross-situational statistical learning task (CSL)'}}
2	269024880	Research on Non-Native Speakers' Motivation in Chinese Language Learning: A Review and Reflection—A Statistical Analysis Based on Academic Journal Papers (1997-2023)	1.000	True	{'Condition Object': "Non-Native Speakers' Motivation in Chinese Language Learning", 'Required Elements': {'Statistical Analysis': 'statistical analysis'}}
3	271031950	Distributional learning of non-native tone contrasts by older adults after training and overnight consolidation	1.000	True	{'Condition Object': 'non-native tone contrasts', 'Required Elements': {'statistical learning': 'statistical learning', 'older adults': 'older adults', 'training': 'training', 'tonal contrasts': 'tonal contrasts', 'probability distributions': 'probability distributions'}}
4	151861643	Correlation of statistical learning of different implicit transitional probabilities with Chinese literacy acquisition in non-native adult learners	1.000	True	{'Condition Object': 'statistical learning of different implicit transitional probabilities', 'Required Elements': {'non-native adult learners': 'non-native adult learners', 'Chinese literacy acquisition': 'Chinese literacy acquisition'}}
5	43624697	Apprentissage de contrastes non-natifs : Limites des entraînements statistiques (Learning non-native contrasts: Limits of the statistical training) [in French]	1.000	True	{'Condition Object': 'Learning non-native contrasts', 'Required Elements': ['non-native', 'statistical training']}
6	270206248	Applying large language models for automated essay scoring for non-native Japanese	1.000	True	{'Condition Object': 'non-native Japanese', 'Required Elements': {'large language models': 'Applying large language models for automated essay scoring for non-native Japanese', 'automated essay scoring': 'Applying large language models for automated essay scoring for non-native Japanese', 'non-native Japanese': 'Applying large language models for automated essay scoring for non-native Japanese'}}
7	276045604	RQ1: Can older adults learn non-native words from cross-situational statistical learning?	1.000	True	{'Condition Object': 'statistical learning non-native', 'Required Elements': {'statistical learning': 'statistical learning, i.e. our ability to track and learn from distributional information in the environment, plays a fundamental role in language acquisition', 'non-native': 'cross-situational learning of foreign words in younger and older adults'}}
8	278181544	The Science of Early English Learning: Cognitive and Linguistic Advantages for Non-Native Speakers	1.000	True	{'Condition Object': 'non-native speakers', 'Required Elements': {'statistical learning': 'statistical learning', 'early english learning': 'early English language learning', 'non-native speakers': 'non-native speakers'}}
9	276354180	Affixation patterns in native language and sequence processing by statistical learning mechanisms	0.000	False	The topic 'Statistical Learning Non-native' requires the presence of 'statistical learning' and 'non-native'. While 'statistical learning' is present in the abstract, 'non-native' is not mentioned explicitly.
10	272971471	Facilitating the Teaching of Arabic to Non-Native Speakers Using Computers: A Computational Linguistic Study	0.000	False	The topic 'Statistical Learning Non-native' requires the presence of 'statistical learning' and 'non-native'. While 'non-native speakers' is mentioned, 'statistical learning' is not explicitly present in the title or abstract.
11	272881129	Oral exams in introductory statistics class with non-native English speakers	1.000	True	{'Condition Object': 'oral exams in introductory statistics class', 'Required Elements': {'non-native English speakers': 'non-native English speakers'}}
12	265079642	Non-native Accents among School Beginners and Teacher Expectations for Future Student Achievements	0.000	False	The provided topic 'Statistical Learning Non-native' does not have a clear decomposition into a Condition Object and Required Elements based on the given strict matching protocol. The title and abstract focus on non-native accents and teacher expectations but do not mention 'statistical learning' or any specific methodologies related to it.
13	258573533	Exploring the Effectiveness of Native and Non-Native English Teachers on EFL Learners’ Accuracy, Fluency, and Complexity in Speaking	0.000	False	The topic 'Statistical Learning Non-native' requires the presence of 'statistical learning' and 'non-native' as key elements. While 'non-native' is present in the abstract, 'statistical learning' is not mentioned at all.
14	221236417	Enhancing Cognitive Performance of Healthy Czech Seniors through Non-Native Language Learning—A Mixed-Methods Pilot Study	1.000	True	{'Condition Object': 'Non-native language learning', 'Required Elements': {'statistical processing': 'statistical processing of the data', 'non-native language': 'non-native language', 'cognitive performance': 'cognitive performance'}}
15	268688684	Contribution of statistical learning in learning to read across languages	1.000	True	{'Condition Object': 'Statistical Learning', 'Required Elements': {'Non-native': 'native Chinese-speaking 4th, 6th and 8th graders who learn English as a second language (L2)', 'Statistical Learning': 'Statistical Learning (SL), non-linguistic SL, Chinese SL, and English SL'}}
16	267198669	The influence of language-specific properties on the role of consonants and vowels in a statistical learning task of an artificial language: A cross-linguistic comparison	1.000	True	{'Condition Object': 'statistical learning', 'Required Elements': {'non-native': 'native Hebrew and native English speakers', 'artificial language': 'auditory statistical learning (SL) of an artificial language'}}
17	267298787	The effect of lexicalization biases on cross-situational statistical learning of novel verbs	1.000	True	{'Condition Object': 'cross-situational statistical learning of novel verbs', 'Required Elements': {'non-native': 'second language learners', 'statistical learning': 'cross-situational statistical learning (CSSL)'}}
18	236878726	Does high talker variability improve the learning of non-native phoneme contrasts? A replication	1.000	True	{'Condition Object': 'non-native phoneme contrasts', 'Required Elements': {'phonetic training': 'phonetic training', 'talker variability': 'talker variability', 'non-native speech perception': 'non-native speech perception'}}
19	52191743	A Deep Learning Approach to Assessing Non-native Pronunciation of English Using Phone Distances	1.000	True	{'Condition Object': 'Non-native pronunciation', 'Required Elements': {'Deep Learning': 'A Deep Learning Approach', 'Non-native Speaker': 'non-native speaker', 'Pronunciation': 'pronounces the phones', 'Statistical Models': 'generative statistical models'}}
20	257954117	Implicit Statistical Learning in L2 Sentence Processing: Individual Cognitive Differences	0.000	False	The topic 'Statistical Learning Non-native' decomposes into Condition Object: 'Statistical Learning' and Required Element: 'Non-native'. The term 'Non-native' is not explicitly present in the title or abstract.
21	280596220	Improving the Level of Achievement in Essay Writings Among Non-Native Speakers of Malay Language Based on a Systematic Model	0.000	False	The provided evidence does not contain any of the required elements for 'Statistical Learning Non-native'. The title and abstract focus on improving essay writing among non-native speakers of Malay language but do not mention statistical learning or any related methodologies.
22	149966756	Statistical learning and orthographic preferences among native Arab kindergarten and first graders	0.000	False	The title 'Statistical learning and orthographic preferences among native Arab kindergarten and first graders' does not contain the required element 'non-native'. The topic requires the study to focus on non-native subjects, but the title specifies 'native Arab' participants.
23	53074643	Perceptual assimilation of non-native prosodic cues: Cross-linguistic effects of lexical F0 learning	1.000	True	{'Condition Object': 'non-native perception', 'Required Elements': {'lexical F0 variations': 'lexical fundamental frequency (F0) variations', 'perception of non-native language': 'perception of an additional non-native language', 'statistical learning': 'statistical improvement'}}
24	149558313	Learning Upper Sorbian. The problems with minority language education for non-native pupils in the Upper Sorbian Grammar School in Bautzen/Budyšin	0.000	False	The topic 'Statistical Learning Non-native' decomposes into Condition Object: 'Non-native' learning and Required Elements: 'Statistical Learning'. While the abstract mentions 'non-native pupils' and a 'statistical survey', the term 'Statistical Learning' is not explicitly present. Therefore, the paper does not meet the strict matching criteria.
25	253375140	YOUNG LEARNERS’ COGNITIVE AND AFFECTIVE MORAL EMPATHY USING MOTHER-TONGUE LANGUAGE VERSUS NON-NATIVE TONGUE LANGUAGE	0.000	False	The topic 'Statistical Learning Non-native' requires the presence of elements related to statistical learning and non-native language use. While the abstract mentions 'non-native tongue', it does not mention any form of statistical learning or analysis specific to statistical learning methods. Therefore, the paper is not relevant to the specified topic.
