rank	corpus_id	title	confidence	is_relevant	reasoning
1	265648994	Identification Novel Salty-Enhancing Peptides from Sea Cucumber Collagen: AlphaFold2 Modeling and Molecular Simulation	1.000	True	{'Condition Object': 'salty-enhancing peptides', 'Required Elements': {'peptides': 'peptides', 'salty enhancing': 'salty-enhancing'}}
2	270351798	Current trends and perspectives on salty and salt taste-enhancing peptides: A focus on preparation, evaluation and perception mechanisms of salt taste.	1.000	True	{'Condition Object': 'salty and salt taste-enhancing peptides', 'Required Elements': ['preparation', 'evaluation', 'perception mechanisms']}
3	269826708	Advancements in production, assessment, and food applications of salty and saltiness-enhancing peptides: A review.	1.000	True	{'Condition Object': 'salty and saltiness-enhancing peptides', 'Required Elements': ['salty', 'saltiness-enhancing peptides']}
4	271881368	Decoding of Salty/Saltiness-Enhancing Peptides Derived from Goose Hemoglobin and the Interaction Mechanism with TMC4 Receptor.	1.000	True	{'Condition Object': 'salty/saltiness-enhancing peptides', 'Required Elements': {'peptides with a saltiness-enhancing effect': 'Peptides with a saltiness-enhancing effect may provide an alternative method for salt reduction.', 'saltiness intensity': 'The sensory evaluation results also indicated an increase in saltiness intensity (46.67 ± 4.67 mmol/L NaCl) after adding GDAVKNLD.'}}
5	274991843	Structural Feature of Salty/Saltiness-Enhancing Peptides Derived from Coprinus comatus and Their Stability during Subsequent Thermal Treatment and Maillard Reaction.	1.000	True	{'Condition Object': 'salty/saltiness-enhancing peptides', 'Required Elements': {'salty peptides': 'salty peptide', 'saltiness-enhancing peptides': 'saltiness-enhancing peptide'}}
6	259296498	Prospects and challenges for the application of salty and saltiness-enhancing peptides in low-sodium meat products.	1.000	True	{'Condition Object': 'salty and saltiness-enhancing peptides', 'Required Elements': ['salty', 'saltiness-enhancing peptides']}
7	268443896	Novel salty peptides derived from bovine bone: Identification, taste characteristic, and salt-enhancing mechanism.	1.000	True	{'Condition Object': 'salty peptides', 'Required Elements': {'salty peptides': 'Novel salty peptides derived from bovine bone', 'salt-enhancing': 'salt-enhancing mechanism'}}
8	253694620	Salt taste receptors and associated salty/salt taste-enhancing peptides: A comprehensive review of structure and function	1.000	True	{'Condition Object': 'salt taste receptors and salty/salt taste-enhancing peptides', 'Required Elements': ['salt taste receptors', 'salty/salt taste-enhancing peptides']}
9	276505671	Molecular Characteristics and Thermal Stability of Salty/Saltiness-Enhancing Peptides from Enzymatic Hydrolysates of Agaricus bisporus.	1.000	True	{'Condition Object': 'salty/saltiness-enhancing peptides', 'Required Elements': {'peptides': 'peptides', 'saltiness-enhancing': 'saltiness-enhancing', 'enzymatic hydrolysates': 'enzymatic hydrolysates'}}
10	276584491	Identification of salty and saltiness-enhancing peptides derived from phycocyanin in Arthrospira platensis	1.000	True	{'Condition Object': 'salty and saltiness-enhancing peptides', 'Required Elements': {'peptides': 'peptides', 'saltiness-enhancing': 'saltiness-enhancing'}}
11	278360737	Molecular identification of salty and saltiness-enhancing peptides from Stropharia Rugosoannulata and their salinity perception with secondary structure and sodium chloride.	1.000	True	{'Condition Object': 'saltiness-enhancing peptides', 'Required Elements': ['saltiness-enhancing peptides', 'sodium chloride']}
12	276564778	Yeast protein derived salty peptides improve the bioavailability of sodium-reduced pork gel by enhancing the abilities of digestion and absorption	1.000	True	{'Condition Object': 'salty peptides', 'Required Elements': {'salty peptides': 'salty peptides'}}
13	279007257	Synthesis of Umami-, Salty-, and Kokumi-Enhancing γ-Glutamyl Peptides from Soy Protein Isolate Hydrolysate and Their Taste Mechanism via In Silico Study	1.000	True	{'Condition Object': 'salty enhancing peptides', 'Required Elements': {'salty enhancing': 'Salty-Enhancing', 'peptides': 'peptides'}}
14	237316361	Saltiness-Enhancing Peptides Isolated from the Chinese Commercial Fermented Soybean Curds with Potential Applications in Salt Reduction.	1.000	True	{'Condition Object': 'saltiness-enhancing peptides', 'Required Elements': {'peptides': 'peptides', 'saltiness-enhancing': 'saltiness-enhancing', 'fermented soybean curd': 'commercial Chinese fermented soybean curd', 'taste-active compounds': 'taste-active peptides', 'salt reduction': 'Salt reduction'}}
15	258638416	Novel Umami-, Salty-, and Kokumi-Enhancing γ-Glutamyl Tripeptides Synthesized with the Bitter Dipeptides from Defatted Peanut Meal Protein Hydrolysate.	1.000	True	{'Condition Object': 'salty enhancing peptides', 'Required Elements': {'salty enhancing': 'enhanced their kokumi, umami, and salty taste', 'peptides': 'γ-Glu-AA-AAs'}}
16	250966468	Isolation, identification and characterization of taste peptides from fermented broad bean paste.	1.000	True	{'Condition Object': 'salty enhancing peptides', 'Required Elements': {'salty enhancing': 'And they had both salty-enhancing and umami-enhancing abilities.', 'peptides': 'The flavor peptides from fermented broad-bean (FB) were separated and identified'}}
17	226849160	Identification, taste characterization and molecular docking study of novel umami peptides from the Chinese Anchovy Sauce.	0.000	False	The topic 'salty enhancing peptides' requires the presence of 'salty enhancing' and 'peptides'. While 'peptides' is mentioned, 'salty enhancing' is not explicitly stated in the title or abstract. The paper focuses on 'umami peptides' and 'umami-enhancing peptides', which are related but not the same as 'salty enhancing peptides'.
18	270876166	Screening of a Microbial Culture Collection: Empowering Selection of Starters for Enhanced Sensory Attributes of Pea-Protein-Based Beverages	1.000	True	{'Condition Object': 'salty enhancing peptides', 'Required Elements': {'salty': 'improving umami and salty flavors', 'peptides': 'enriching the matrix with taste-active amino acids, nucleotides, and peptides'}}
19	271144022	Salt reduction strategies and enhanced saltiness perception mechanisms for prepared dishes: A review	1.000	True	{'Condition Object': 'salty enhancing peptides', 'Required Elements': {'salty enhancing peptides': 'The preparation of salty peptides and salty enhancing peptides from natural foods and the combination of them with new green technologies may be an effective method for salt reduction in the food industry.'}}
20	240776970	Molecular Mechanism and Sensory Characterization of “Kokumi” Substances	1.000	True	{'Condition Object': 'kokumi substances', 'Required Elements': {'salty tastes': 'Ca 2+ and γ -glutamyl peptides enhance the intensities of umami, sweet, and salty tastes in a CaSR-dependent manner'}}
21	268901306	Characteristics of saltiness-enhancing peptides derived from yeast proteins and elucidation of their mechanism of action by molecular docking.	1.000	True	{'Condition Object': 'saltiness-enhancing peptides', 'Required Elements': {'derived from yeast proteins': 'derived from yeast proteins', 'mechanism of action': 'mechanism of action', 'molecular docking': 'molecular docking'}}
22	269384934	Exploring the Relationships Between Bacterial Community, Taste-Enhancing Peptides and Aroma in Thai Fermented Fish (Pla-ra).	1.000	True	{'Condition Object': 'taste-enhancing peptides', 'Required Elements': {'saltiness-enhancing attributes': 'Koku perception and saltiness-enhancing attributes were clearly perceived and dominant in all samples'}}
23	266877799	Identification and virtual screening of novel salty peptides from hydrolysate of tilapia by-product by batch molecular docking	1.000	True	{'Condition Object': 'salty peptides', 'Required Elements': {'peptides': 'novel salty peptides, 16 potential salty peptides, 16 peptides, salty peptides', 'molecular docking': 'batch molecular docking, molecular docking'}}
24	264336361	Saltiness enhancing peptides isolated from enzymolysis extract of Lentinula edodes and their taste enhancing action mechanisms	1.000	True	{'Condition Object': 'saltiness enhancing peptides', 'Required Elements': ['isolated from enzymolysis extract of Lentinula edodes', 'taste enhancing action mechanisms']}
25	275188532	Discovery of novel saltiness-enhancing peptides from yeast extract and evaluation of their bidirectional saltiness regulation effects.	1.000	True	{'Condition Object': 'saltiness-enhancing peptides', 'Required Elements': {'peptides': 'novel saltiness-enhancing peptides', 'yeast extract': 'from yeast extract', 'bidirectional saltiness regulation effects': 'evaluation of their bidirectional saltiness regulation effects'}}
26	267753957	Study on the saltiness-enhancing mechanism of chicken-derived umami peptides by sensory evaluation and molecular docking to transmembrane channel-like protein 4 (TMC4).	1.000	True	{'Condition Object': 'saltiness-enhancing mechanism', 'Required Elements': {'peptides': 'umami peptides', 'sensory evaluation': 'sensory evaluation', 'molecular docking': 'molecular docking', 'transmembrane channel-like protein 4 (TMC4)': 'transmembrane channel-like protein 4 (TMC4)'}}
27	268700700	Taste-Active Peptides from Triple-Enzymatically Hydrolyzed Straw Mushroom Proteins Enhance Salty Taste: An Elucidation of Their Effect on the T1R1/T1R3 Taste Receptor via Molecular Docking	1.000	True	{'Condition Object': 'salty enhancing peptides', 'Required Elements': {'salty taste enhancement': 'enhance salty taste, saltiness enhancement peptides, saltiness', 'peptides': 'taste-active peptides, peptides, 220 peptides, three peptides'}}
28	266965932	Altering Specificity and Enhancing Stability of the Antimicrobial Peptides Nisin and Rombocin through Dehydrated Amino Acid Residue Engineering	0.000	False	The title and abstract do not contain any of the required elements related to 'salty enhancing peptides'. The focus appears to be on antimicrobial peptides and their engineering.
29	248480756	Characterization of Peanut Protein Hydrolysate and Structural Identification of Umami-Enhancing Peptides	0.000	False	The topic 'salty enhancing peptides' requires the presence of terms related to 'salty' and 'enhancing peptides'. The provided abstract and title focus on 'umami taste' and 'umami-enhancing peptides', which do not match the required elements for 'salty enhancing peptides'.
30	248221326	Identification of novel saltiness-enhancing peptides from yeast extract and their mechanism of action for transmembrane channel-like 4 (TMC4) protein through experimental and integrated computational modeling.	1.000	True	{'Condition Object': 'saltiness-enhancing peptides', 'Required Elements': {'yeast extract': 'Identification of novel saltiness-enhancing peptides from yeast extract', 'transmembrane channel-like 4 (TMC4) protein': 'their mechanism of action for transmembrane channel-like 4 (TMC4) protein'}}
31	273174759	Insight into the enhancement and mechanism of saltiness perception by salty peptides from bovine bone.	1.000	True	{'Condition Object': 'saltiness perception by salty peptides', 'Required Elements': {'salty peptides': 'salty peptides', 'enhancement': 'enhancement', 'mechanism': 'mechanism'}}
32	249104997	Umami and umami‐enhancing peptides from myofibrillar protein hydrolysates in Low‐sodium dry‐cured Spanish mackerel (  Scomberomorus niphonius  ) under the action of  Lactobacillus plantarum	0.000	False	The title and abstract do not contain the exact term 'salty enhancing peptides'. The paper focuses on 'umami and umami-enhancing peptides' which does not match the required topic.
33	271932804	Taste characteristics of salty peptides from Porphyra haitanensis and the synergistic saltiness enhancement with CaCl2.	1.000	True	{'Condition Object': 'salty peptides', 'Required Elements': {'salty peptides': 'Taste characteristics of salty peptides from Porphyra haitanensis', 'synergistic saltiness enhancement': 'the synergistic saltiness enhancement with CaCl2'}}
34	273415922	ACE inhibitory effect and saltiness-enhancing properties of chicken-derived umami peptides: Digestive stability, inhibition kinetics, multiple ligand docking and central composite design.	1.000	True	{'Condition Object': 'saltiness-enhancing properties', 'Required Elements': ['saltiness-enhancing']}
35	258786362	Preparation of Saltiness-Enhancing Enzymatic Hydrolyzed Pea Protein and Identification of the Functional Small Peptides of Salt Reduction.	1.000	True	{'Condition Object': 'saltiness enhancing peptides', 'Required Elements': {'peptide': ['peptides', 'small peptides'], 'saltiness enhancement': ['saltiness-enhancing', 'saltiness-enhancement'], 'source material': ['pea protein']}}
36	233202541	Taste characteristics and umami mechanism of novel umami peptides and umami-enhancing peptides isolated from the hydrolysates of Sanhuang Chicken	1.000	True	{'Condition Object': 'umami peptides and umami-enhancing peptides', 'Required Elements': ['umami peptides', 'umami-enhancing peptides']}
37	278325795	Molecular elucidation of the identification of novel saltiness-enhancing peptides and taste mechanism from soybean protein isolate based on transmembrane channel-like 4 (TMC4).	1.000	True	{'Condition Object': 'saltiness-enhancing peptides', 'Required Elements': {'saltiness-enhancing peptides': 'saltiness-enhancing peptides', 'soybean protein isolate': 'soybean protein isolate', 'molecular mechanism': 'molecular mechanism', 'taste mechanism': 'taste mechanism', 'TMC4': 'TMC4'}}
38	281012121	Decoding of the Saltiness-Enhancing Peptides Derived from Walnut Meal Protein and Evaluation of Their Mechanism of Interaction with ENaC/TMC4 Receptors.	1.000	True	{'Condition Object': 'saltiness-enhancing peptides', 'Required Elements': {'peptides': 'Saltiness-Enhancing Peptides', 'interaction mechanism': 'Mechanism of Interaction', 'receptors': 'ENaC/TMC4 Receptors'}}
39	277996708	Identification, saltiness-enhancing effect, and antioxidant properties of novel saltiness-enhancing peptides from peanut protein.	1.000	True	{'Condition Object': 'saltiness-enhancing peptides', 'Required Elements': {'peptides': 'novel peptides, peptides SPDIY, DPSPR, QPGDY, and SPPGER', 'saltiness-enhancing effect': 'significant saltiness-enhancing effects, enhancing saltiness, saltiness enhancement thresholds'}}
